pid,uri,title,osm_way_ids
108732,https://pleiades.stoa.org/places/108732,Alisontia (river),osm-location
108813,https://pleiades.stoa.org/places/108813,Bleza (river),location-of-Bleza-fl
109168,https://pleiades.stoa.org/places/109168,Moenus (river),location-of-Moenus-fl
187562,https://pleiades.stoa.org/places/187562,*Summus L.,location-of-lago-di-mezzola
246517,https://pleiades.stoa.org/places/246517,Neroua (river),location-of-Neroua-fl
246691,https://pleiades.stoa.org/places/246691,Ticis? (river),location-of-muga-river
256242,https://pleiades.stoa.org/places/256242,Kal(l)ipous (river),location-of-rio-sado
256248,https://pleiades.stoa.org/places/256248,Lacca (river),location-of-Lacca-fl
393475,https://pleiades.stoa.org/places/393475,Plavis (river),location-of-Plavis-fl
403185,https://pleiades.stoa.org/places/403185,Auser (river),location-of-course-of-Auser-fl
422828,https://pleiades.stoa.org/places/422828,Albunea (river),location-of-solforata
432786,https://pleiades.stoa.org/places/432786,Clanius (river),location-of-regi-lagni
462265,https://pleiades.stoa.org/places/462265,Kakyparis (river),location-of-Kakyparis-fl
462290,https://pleiades.stoa.org/places/462290,Lykos (river),location-of-course-of-grande-river|location-of-course-of-arena-river|location-of-course-of-delia-river
462306,https://pleiades.stoa.org/places/462306,Mazara (river),location-of-Mazara-fl
462374,https://pleiades.stoa.org/places/462374,Motykanos (river),location-of-Motykanos-fl
462407,https://pleiades.stoa.org/places/462407,Pakonia? (island),location-of-Pakonia-Ins
462417,https://pleiades.stoa.org/places/462417,Pergus L.,location-of-Pergus-L
472010,https://pleiades.stoa.org/places/472010,Saipros (river),location-of-Saipros-fl
472030,https://pleiades.stoa.org/places/472030,Temos (river),location-of-Temos-fl
472077,https://pleiades.stoa.org/places/472077,Kaisias Aigialos,osm-location
472091,https://pleiades.stoa.org/places/472091,Lokra (river),osm-location
472135,https://pleiades.stoa.org/places/472135,Tikarios (river),location-of-Tikarios-fl
491534,https://pleiades.stoa.org/places/491534,Axios (river),location-of-Axios-fl
501440,https://pleiades.stoa.org/places/501440,Ismaris L.,location-of-Ismaris-L
511166,https://pleiades.stoa.org/places/511166,Askania L.,location-of-Askania-L
511232,https://pleiades.stoa.org/places/511232,Delkos/Derkos/Phileatine,modern-shoreline-derkoz-golu
511239,https://pleiades.stoa.org/places/511239,Drakon (river),osm-location-of-yalakdere
511340,https://pleiades.stoa.org/places/511340,Odryses (river),location-of-Odryses-fl
550521,https://pleiades.stoa.org/places/550521,Drymousa (island),locaton-of-uzunada-island
570355,https://pleiades.stoa.org/places/570355,Kerynitis (river),osm-location-of-modern-vouraikos-river-2
589911,https://pleiades.stoa.org/places/589911,Libeia? Ins.,location-of-Libeia-Ins
589924,https://pleiades.stoa.org/places/589924,Massalia? (river),location-of-Massalia-fl
599605,https://pleiades.stoa.org/places/599605,Elaioussa (island),osm-location
599757,https://pleiades.stoa.org/places/599757,Leia? (island),osm-location
599828,https://pleiades.stoa.org/places/599828,Nisyrion (islands),osm-location-of-pakhia|osm-location-of-perigousa
599896,https://pleiades.stoa.org/places/599896,Polypodousa (island),location-of-Polypodousa-Ins
599928,https://pleiades.stoa.org/places/599928,Schinoussa (island),osm-location
599952,https://pleiades.stoa.org/places/599952,Syrie (island),osm-way-4517448
599961,https://pleiades.stoa.org/places/599961,Telos (island),location-of-Telos-Ins
599974,https://pleiades.stoa.org/places/599974,Therasia (island),location-of-Therasia-Ins
638781,https://pleiades.stoa.org/places/638781,Aulindenos? L.,location-of-Aulindenos-L
