pid,uri,title,longitude,latitude,place_types
1306,https://pleiades.stoa.org/places/1306,Syria,37.5,37.5,unknown
20468,https://pleiades.stoa.org/places/20468,Germania,7.5,52.5,province
20563,https://pleiades.stoa.org/places/20563,Odry,18.017484,53.890952,cemetery|temple
39321,https://pleiades.stoa.org/places/39321,Canon,47.5,12.5,unknown
39356,https://pleiades.stoa.org/places/39356,Karbai,43.474771187498845,14.772873612131956,unknown
39366,https://pleiades.stoa.org/places/39366,Lathinat,47.4289616667184,14.440188695175452,unknown
39371,https://pleiades.stoa.org/places/39371,Lysanitae,44.171064609959245,15.22996925139778,unknown
39422,https://pleiades.stoa.org/places/39422,Sammaei,44.63993915934264,14.040009590173334,unknown
49862,https://pleiades.stoa.org/places/49862,Annamalai,77.5,12.5,unknown
49962,https://pleiades.stoa.org/places/49962,Dharphal,72.5,17.5,unknown
50019,https://pleiades.stoa.org/places/50019,Kalindoia,77.5,12.5,unknown
50046,https://pleiades.stoa.org/places/50046,Karoura,77.5,12.5,unknown
50085,https://pleiades.stoa.org/places/50085,Kudavelli,77.5,17.5,unknown
50147,https://pleiades.stoa.org/places/50147,Mysore,77.5,12.5,unknown
59776,https://pleiades.stoa.org/places/59776,Chrysoun Stoma,70.12808435,29.059230300000003,unknown
59860,https://pleiades.stoa.org/places/59860,Kambouson Stoma,87.5,22.5,unknown
59922,https://pleiades.stoa.org/places/59922,Massaka,71.685886,34.761924,fort|settlement
60010,https://pleiades.stoa.org/places/60010,Pseudostomos,92.5,22.5,unknown
60028,https://pleiades.stoa.org/places/60028,Sambalaka,77.5,27.5,unknown
69488,https://pleiades.stoa.org/places/69488,Châtillon-sur-Seiche,-1.65974,48.042566,mine
69500,https://pleiades.stoa.org/places/69500,Douarnenez,-4.330543,48.088512,mine|production
69525,https://pleiades.stoa.org/places/69525,Langonnet,-3.491814,48.102332,mine|production
69542,https://pleiades.stoa.org/places/69542,The Nunnery,-2.1758078234609997,49.72087434227278,fort|fort-2
79389,https://pleiades.stoa.org/places/79389,‘Cicutio’,-3.451705835402657,51.956478622154016,fort|fort-2|settlement
79484,https://pleiades.stoa.org/places/79484,‘Gobannio’,-3.0194535,51.8234205,fort|fort-2|settlement
79542,https://pleiades.stoa.org/places/79542,Kanovium/Conovium,-3.8341202,53.21599915,fort|fort-2
79553,https://pleiades.stoa.org/places/79553,Lagentium,-1.356271,53.725863,fort
79556,https://pleiades.stoa.org/places/79556,‘Lavobrinta’?,-3.1709767662354107,52.58207665430555,amphitheatre|fort|fort-2|sanctuary
79578,https://pleiades.stoa.org/places/79578,Pumsaint Roman Fort (ancient Louentinon?),-3.9606206079160815,52.04727187441429,fort|fort-2
79583,https://pleiades.stoa.org/places/79583,Lydney,-2.55788815008054,51.721324579239194,fort|temple-2
79590,https://pleiades.stoa.org/places/79590,‘Mamucio’,-2.254277076204691,53.47529334543511,fort|fort-2|settlement
79605,https://pleiades.stoa.org/places/79605,Navio,-1.7291115499999998,53.3412153,fort
79607,https://pleiades.stoa.org/places/79607,‘Nemetotacio’,-3.9002443,50.7829186,fort
79616,https://pleiades.stoa.org/places/79616,‘Nido’,-3.812410846600674,51.663964562269356,archaeological-site|fort|fort-2|gateway
79631,https://pleiades.stoa.org/places/79631,Othona,0.9401531908741785,51.735562460098286,fort|fort-2
79645,https://pleiades.stoa.org/places/79645,Portus ‘Adurni’?,-1.1144595000000002,50.837565,fort|fort-2
79654,https://pleiades.stoa.org/places/79654,Regulbium,1.1997133122776817,51.37910288529436,fort|fort-2
79706,https://pleiades.stoa.org/places/79706,Tamion?,-3.1809505,51.4817495,fort|fort-2
79708,https://pleiades.stoa.org/places/79708,Tara,-6.610382008798403,53.58072907846126,fort|sanctuary
82298,https://pleiades.stoa.org/places/82298,Untitled,-4.5,50.5,mine
82302,https://pleiades.stoa.org/places/82302,Untitled,-2.5,52.5,mine
82303,https://pleiades.stoa.org/places/82303,Untitled,-2.5,51.5,mine
82308,https://pleiades.stoa.org/places/82308,Untitled,-1.5,53.5,mine
82311,https://pleiades.stoa.org/places/82311,Untitled,-0.5,51.5,mine
82312,https://pleiades.stoa.org/places/82312,Untitled,0.5,51.5,mine
82313,https://pleiades.stoa.org/places/82313,Untitled,0.5,50.5,mine
89099,https://pleiades.stoa.org/places/89099,Alauna,-1.820411,55.396463,fort
89112,https://pleiades.stoa.org/places/89112,Bannatia?,-3.9875967,56.3658011,fort|fort-2|military-installation-or-camp-temporary
89127,https://pleiades.stoa.org/places/89127,Brocavum,-2.7172354935019487,54.65315712112182,fort|fort-2
89171,https://pleiades.stoa.org/places/89171,Duntocher,-4.409929181382963,55.92350244580256,bath|fort|fort-2|fortlet
89205,https://pleiades.stoa.org/places/89205,Ilkley (Verbeia?),-1.824171675856724,53.92665545004785,fort|fort-2
89206,https://pleiades.stoa.org/places/89206,Victoria?,-3.4115965,56.5334205,fort|fort-2|settlement
89207,https://pleiades.stoa.org/places/89207,Inveresk,-3.054622908248247,55.93716209466626,fort|fort-2
89237,https://pleiades.stoa.org/places/89237,Magis?,-3.5459931847646073,54.65557709668285,fort|fort-2|ruin
89238,https://pleiades.stoa.org/places/89238,Magnis,-2.524275984279248,54.98482930525684,fort|fort-2
89243,https://pleiades.stoa.org/places/89243,‘Medibogdo’,-3.205357296581622,54.40269160665815,fort|fort-2
89251,https://pleiades.stoa.org/places/89251,Newton Kyme,-1.3069519,53.9027432,fort|fort-2
89282,https://pleiades.stoa.org/places/89282,Rough Castle,-3.8552533186970517,55.997854493575545,fort|fort-2
89287,https://pleiades.stoa.org/places/89287,Seabegs Wood,-3.9001910608397923,55.99353332327489,fort|fortlet
89309,https://pleiades.stoa.org/places/89309,Velunia(te),-3.5640938560953033,56.010181567338996,fort|fort-2
