pid,uri,title,longitude,latitude,description
90602,https://pleiades.stoa.org/places/90602,Road network south of Hadrian's Wall,-3.0,56.5,
90603,https://pleiades.stoa.org/places/90603,Road network north of Hadrian's Wall,-3.0,56.5,
716530,https://pleiades.stoa.org/places/716530,el-Ayoun,28.866406,28.311218,
86964096,https://pleiades.stoa.org/places/86964096,Tall al-Farḥa,43.4612,35.2652,
86964097,https://pleiades.stoa.org/places/86964097,Tall Faqūs,38.20541864894527,35.937450987804844,
237657888,https://pleiades.stoa.org/places/237657888,Nuraghe Colombos,8.748620910642606,40.299123180931524,
250585396,https://pleiades.stoa.org/places/250585396,Tall al-Hādī,41.865,36.8707,
256850675,https://pleiades.stoa.org/places/256850675,Bouleuterion at Lyttos,25.368333,35.208083,
256850676,https://pleiades.stoa.org/places/256850676,Sebasteion at Lyttos,25.368458,35.20807,
329428991,https://pleiades.stoa.org/places/329428991,Temple/Church,28.723189020865988,37.709718830173564,
596828152,https://pleiades.stoa.org/places/596828152,Andros (medieval fortification),24.9435309,37.8408836,
664789877,https://pleiades.stoa.org/places/664789877,Sa‘ad wa Sa‘ayd,48.2779,29.4304,
698493693,https://pleiades.stoa.org/places/698493693,Odeon of Teos,26.790055699999996,38.17777355,
985266459,https://pleiades.stoa.org/places/985266459,Zama Minor,9.205708,35.8605078,
