pid,uri,title,longitude,latitude,without_zotero
766,https://pleiades.stoa.org/places/766,Aegyptus (Roman imperial province),29.909773,31.201435,766:name:name.2016-07-01.6864599694:http://www.geonames.org/8378475/aegyptus.html>>GeoNames 8378475
772,https://pleiades.stoa.org/places/772,Aethusa (island),12.867635726957417,35.865722838652395,772:loc:osm-location-of-isola-di-linosa:https://www.openstreetmap.org/browse/relation/6410645>Relation 6410645>osm:relation=6410645
775,https://pleiades.stoa.org/places/775,Africa (region),7.5,32.5,775:name:africa:http://irt.kcl.ac.uk/irt2009/IRT338.html>>IRT 338
776,https://pleiades.stoa.org/places/776,Africum Mare,9.333752726837984,37.68713023884798,776:http://latin.packhum.org/loc/631/2/13/2532-2544>>Sall. Bell. Iug. 18.9.2
783,https://pleiades.stoa.org/places/783,Alpes (mountains),7.401755916845227,43.74479437887957,783:http://latin.packhum.org/loc/690/2/0/21748-21753>>Verg. Georg. 1.475|783:>>Aen. 4.442|783:name:alpeis:http://data.perseus.org/citations/urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:2.14>>Plb. 2.14
798,https://pleiades.stoa.org/places/798,Anatis/Asana (river),-5.325767734129178,33.02382868844972,798:loc:osm-location-of-oum-er-rbia-river:https://www.openstreetmap.org/browse/way/778946637>Way 778946637>osm:way=778946637
815,https://pleiades.stoa.org/places/815,Ap(p)enninus M.,12.761998634560495,42.95265657198761,"815:name:Apenninus-M:http://latin.packhum.org/loc/1345/1/1/14262-14270,15133-15141,16082-16090#1>>Silius Italicus, Punica 2.314|815:name:appennines:http://www.geonames.org/3182982/appennines.html>>GeoNames 3182982"
845,https://pleiades.stoa.org/places/845,Atlanticus Oceanus,-19.665682,31.937048,845:name:occidentalis-oceanus:http://latin.packhum.org/loc/2349/7/805/379-391>>Serv. In Vergilii Georgicon Libros 3.32.6
1000,https://pleiades.stoa.org/places/1000,Germania Superior,7.5,47.5,"1000:>>Creighton, J. et al. edd. 1999. Roman Germany : studies in cultural interaction. Portsmouth RI: Journal of Roman Archaeology."
1004,https://pleiades.stoa.org/places/1004,(H)Adriaticum/Superum Mare,16.451129429880794,42.47005421438293,1004:name:ionios-kolpos:>>FGrH 1 F 91f.
1043,https://pleiades.stoa.org/places/1043,Internum Mare,14.449366695083585,34.655205690792464,"1043:http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0062:entry=internum-mare-harpers>>Peck 1898 (Perseus), Internum Mare|1043:http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0064:entry=internum-mare-geo>>Smith 1854 (Perseus), INTERNUM MARE|1043:http://www.treccani.it/enciclopedia/mare-mediterraneo>>Mediterraneo, Mare|1043:name:internum-mare:http://www.perseus.tufts.edu/hopper/text?doc=Plin.%20Nat.%203.3&lang=original>>Plin. HN 3.3|1043:name:mare-nostrum:http://www.perseus.tufts.edu/hopper/text?doc=Sal.%20Jug.%2017&lang=original>>Sal. Jug. 17|1043:name:mare-nostrum:https://latin.packhum.org/loc/448/1/83/418-445>>Caes. BGall. 5.1.2.2"
1052,https://pleiades.stoa.org/places/1052,Italia,11.0949512,43.6941505,1052:>>RAC Italia I
1063,https://pleiades.stoa.org/places/1063,Karpates Oros,20.1340595,49.1640319,1063:loc:osm-location-of-gerlachovsky-stit:http://www.openstreetmap.org/browse/node/26862937>Node 26862937>osm:node=26862937
1094,https://pleiades.stoa.org/places/1094,Lopadusa (island),12.588080110791216,35.510991649733235,1094:loc:osm-location-of-lampedusa:https://www.openstreetmap.org/browse/relation/3067603>Relation 3067603>osm:relation=3067603
1224,https://pleiades.stoa.org/places/1224,Pontus Euxinus,34.7425505,43.0786852,1224:loc:osm-location-of-pontus-euxinus:http://www.openstreetmap.org/browse/node/305639350>Node 305639350>osm:node=305639350
1306,https://pleiades.stoa.org/places/1306,Syria,37.5,37.5,1306:>>KlPauly Syria|1306:conn:levant-region:http://www.columbiagazetteer.org/main/ViewPlace/0/78432>>|1306:conn:levant-region:http://vocab.getty.edu/page/tgn/7001519>>
1356,https://pleiades.stoa.org/places/1356,Tyrrhenum/Inferum Mare,12.671075447443245,41.646782949306164,1356:name:tyrrhenum:http://latin.packhum.org/loc/2349/5/67/1116-1130>>Serv. In Aen 1.67.16|1356:name:name.2015-04-26.5284887578:http://latin.packhum.org/loc/978/1/439/551-562>>Plin. HN 6.216.10
