pid,uri,title,longitude,latitude,place_types
775,https://pleiades.stoa.org/places/775,Africa (region),7.5,32.5,region
783,https://pleiades.stoa.org/places/783,Alpes (mountains),7.401755916845227,43.74479437887957,label|mountain
1000,https://pleiades.stoa.org/places/1000,Germania Superior,7.5,47.5,province-2
1027,https://pleiades.stoa.org/places/1027,Hispania,-7.5,42.5,region
1046,https://pleiades.stoa.org/places/1046,Ionium Mare,17.10639083568919,38.84541402167047,water-open
1052,https://pleiades.stoa.org/places/1052,Italia,11.0949512,43.6941505,region
1113,https://pleiades.stoa.org/places/1113,Magna Graecia,16.493114897544928,39.717478434906866,region
1119,https://pleiades.stoa.org/places/1119,Mauretania,-2.5,32.5,region
1282,https://pleiades.stoa.org/places/1282,Siculum/Ausonium Mare,17.5,37.5,water-open
1306,https://pleiades.stoa.org/places/1306,Syria,37.5,37.5,unknown
20389,https://pleiades.stoa.org/places/20389,Aestii,22.5,52.5,people
20401,https://pleiades.stoa.org/places/20401,Auteinoi,-7.5,52.5,people
20444,https://pleiades.stoa.org/places/20444,Dani,12.5,57.5,people
20451,https://pleiades.stoa.org/places/20451,Dytikos Okeanos,-7.5,57.5,water-open
20456,https://pleiades.stoa.org/places/20456,Erdinoi,-7.5,52.5,people
20464,https://pleiades.stoa.org/places/20464,Galindai,22.5,52.5,people
20466,https://pleiades.stoa.org/places/20466,Ganganoi,-7.5,52.5,people
20467,https://pleiades.stoa.org/places/20467,Gepidi?,17.5,52.5,people
20468,https://pleiades.stoa.org/places/20468,Germania,7.5,52.5,province
20489,https://pleiades.stoa.org/places/20489,Hyperboreios/Douekaledonios Okeanos,-2.422,53.826,water-open
20494,https://pleiades.stoa.org/places/20494,Iouernoi,-7.5,52.5,people
20497,https://pleiades.stoa.org/places/20497,[Iutae],7.5,57.5,people
20505,https://pleiades.stoa.org/places/20505,Karbones,22.5,57.5,people
20508,https://pleiades.stoa.org/places/20508,Kaukoi,-7.5,52.5,people
20523,https://pleiades.stoa.org/places/20523,Lemovii?,12.5,52.5,people
20539,https://pleiades.stoa.org/places/20539,‘Magnatai’,-7.5,52.5,people
20566,https://pleiades.stoa.org/places/20566,Osioi?,22.5,57.5,people
20568,https://pleiades.stoa.org/places/20568,Ouenniknioi,-7.5,52.5,people
20595,https://pleiades.stoa.org/places/20595,Scadinavia/Scandza,7.5,62.5,region
20604,https://pleiades.stoa.org/places/20604,Sitones?,22.5,57.5,people
20613,https://pleiades.stoa.org/places/20613,Soudinoi,22.5,52.5,people
20619,https://pleiades.stoa.org/places/20619,Suiones?,12.5,57.5,people
20635,https://pleiades.stoa.org/places/20635,Venedi,22.5,52.5,people
20636,https://pleiades.stoa.org/places/20636,Vidivarii,17.5,52.5,people
29517,https://pleiades.stoa.org/places/29517,Carmania,56.90606121461909,27.030256096467063,region
29556,https://pleiades.stoa.org/places/29556,Epimaranitae?/Nareitai?,52.5,22.5,people
29610,https://pleiades.stoa.org/places/29610,Isatichai,52.5,32.5,people
29656,https://pleiades.stoa.org/places/29656,Maka/Maketa,57.5,27.5,region
29677,https://pleiades.stoa.org/places/29677,Nabataea (region),37.5,32.5,region
29744,https://pleiades.stoa.org/places/29744,Sard-Kerman,57.5,27.5,region
29816,https://pleiades.stoa.org/places/29816,Zagrus (mountain),44.701649891393394,36.05927845504743,mountain
39297,https://pleiades.stoa.org/places/39297,Askitai,57.5,17.5,people
39314,https://pleiades.stoa.org/places/39314,Bosara,52.5,17.5,people
39315,https://pleiades.stoa.org/places/39315,Bracheia/Prasodes Thalassa,72.49999995,5.000000058430487e-08,water-open
39321,https://pleiades.stoa.org/places/39321,Canon,47.5,12.5,unknown
39331,https://pleiades.stoa.org/places/39331,Coralis? (river),42.5,17.5,river
39341,https://pleiades.stoa.org/places/39341,Elisaroi,42.5,12.5,people
39347,https://pleiades.stoa.org/places/39347,Gedranitae,42.5,12.5,people
39349,https://pleiades.stoa.org/places/39349,Hippalon Pelagos,52.5,12.5,water-open
39350,https://pleiades.stoa.org/places/39350,Homeritai,39.87095128884315,21.586632771390867,people
39360,https://pleiades.stoa.org/places/39360,Kinaidokolpitai,39.853229,20.562245,people
39374,https://pleiades.stoa.org/places/39374,Malangitai,42.5,17.5,people
39378,https://pleiades.stoa.org/places/39378,Maphoritae,42.5,12.5,people
39386,https://pleiades.stoa.org/places/39386,Minaei,47.5,17.5,people
49838,https://pleiades.stoa.org/places/49838,Adisathron (mountain),72.5,17.5,label|mountain
49862,https://pleiades.stoa.org/places/49862,Annamalai,77.5,12.5,unknown
49886,https://pleiades.stoa.org/places/49886,Azanos? (river),80.0,10.0,river
49913,https://pleiades.stoa.org/places/49913,Bendas (river),72.5,17.5,river
49935,https://pleiades.stoa.org/places/49935,Calingon Pr.,82.5,17.5,cape
49954,https://pleiades.stoa.org/places/49954,Cydara (river),80.0,10.0,river
49962,https://pleiades.stoa.org/places/49962,Dharphal,72.5,17.5,unknown
49967,https://pleiades.stoa.org/places/49967,Dosaron (river),87.5,22.5,river
49997,https://pleiades.stoa.org/places/49997,Herone (island),72.5,22.5,island|label|reef
50015,https://pleiades.stoa.org/places/50015,Kaineiton Nesos,72.5,12.5,island
50019,https://pleiades.stoa.org/places/50019,Kalindoia,77.5,12.5,unknown
50046,https://pleiades.stoa.org/places/50046,Karoura,77.5,12.5,unknown
50085,https://pleiades.stoa.org/places/50085,Kudavelli,77.5,17.5,unknown
50127,https://pleiades.stoa.org/places/50127,Megisba Stagnum,80.0,10.0,lake|marsh-wetland
50145,https://pleiades.stoa.org/places/50145,Musiris? L.,77.5,12.5,lake
50147,https://pleiades.stoa.org/places/50147,Mysore,77.5,12.5,unknown
50204,https://pleiades.stoa.org/places/50204,Papike Pr.,72.5,22.5,cape
50236,https://pleiades.stoa.org/places/50236,Pyrron Oros,77.5,7.5,label|mountain
50264,https://pleiades.stoa.org/places/50264,Sesekreienai? Inss.,72.5,17.5,archipelago|label
50275,https://pleiades.stoa.org/places/50275,Solen (river),77.5,7.5,river
50313,https://pleiades.stoa.org/places/50313,Tyndis (river),82.5,22.5,river
50314,https://pleiades.stoa.org/places/50314,Tynnas (river),77.5,12.5,river
59773,https://pleiades.stoa.org/places/59773,Choaspes (river),73.2261416632634,30.740367443312874,river
59776,https://pleiades.stoa.org/places/59776,Chrysoun Stoma,70.12808435,29.059230300000003,unknown
59860,https://pleiades.stoa.org/places/59860,Kambouson Stoma,87.5,22.5,unknown
59898,https://pleiades.stoa.org/places/59898,Lonibarai? Stoma,73.2261416632634,30.740367443312874,river
59906,https://pleiades.stoa.org/places/59906,Malamantos? (river),72.5,32.5,river
59909,https://pleiades.stoa.org/places/59909,Maleus (mountain),87.5,22.5,mountain
59918,https://pleiades.stoa.org/places/59918,Maroae,72.5,27.5,people
59981,https://pleiades.stoa.org/places/59981,Parenos?,72.5,32.5,river
60010,https://pleiades.stoa.org/places/60010,Pseudostomos,92.5,22.5,unknown
60022,https://pleiades.stoa.org/places/60022,Sagapa Stoma,73.22614166326343,30.74036744331288,mouth|river
60028,https://pleiades.stoa.org/places/60028,Sambalaka,77.5,27.5,unknown
60030,https://pleiades.stoa.org/places/60030,Sambos (river),82.5,27.5,river
60033,https://pleiades.stoa.org/places/60033,Saparnos? (river),72.5,32.5,river
60052,https://pleiades.stoa.org/places/60052,Sinthon Stoma,70.12808435,29.059230300000003,river
70972,https://pleiades.stoa.org/places/70972,Untitled,-2.5,49.5,road
70973,https://pleiades.stoa.org/places/70973,Untitled,-2.5,49.5,road
70974,https://pleiades.stoa.org/places/70974,Untitled,-2.5,49.5,road
70976,https://pleiades.stoa.org/places/70976,Road segment(s): Morlaix → Fanum Martis,-2.5,49.5,road
70977,https://pleiades.stoa.org/places/70977,Untitled,-2.5,49.5,road
70978,https://pleiades.stoa.org/places/70978,Unnamed roads in the area of Vorgium,-2.5,49.5,road
79450,https://pleiades.stoa.org/places/79450,‘Eltavori’ (river),-1.5,52.5,river
80032,https://pleiades.stoa.org/places/80032,"Unnamed aqueduct(s) at Dolaucothi, Wales",-3.9498,52.0446,aqueduct
80033,https://pleiades.stoa.org/places/80033,Untitled,-2.5,52.5,aqueduct
80034,https://pleiades.stoa.org/places/80034,Untitled,-2.5,50.5,aqueduct
80035,https://pleiades.stoa.org/places/80035,Untitled,-0.5,53.5,aqueduct
80787,https://pleiades.stoa.org/places/80787,Untitled,-3.5,51.5,dam
80788,https://pleiades.stoa.org/places/80788,Untitled,-2.5,51.5,dam
80789,https://pleiades.stoa.org/places/80789,Untitled,-0.5,53.5,dam
82298,https://pleiades.stoa.org/places/82298,Untitled,-4.5,50.5,mine
82302,https://pleiades.stoa.org/places/82302,Untitled,-2.5,52.5,mine
82303,https://pleiades.stoa.org/places/82303,Untitled,-2.5,51.5,mine
82304,https://pleiades.stoa.org/places/82304,Untitled,-2.5,51.5,quarry
82305,https://pleiades.stoa.org/places/82305,Untitled,-2.5,51.5,quarry
82306,https://pleiades.stoa.org/places/82306,Untitled,-2.5,51.5,quarry
82307,https://pleiades.stoa.org/places/82307,Unnamed quarry,-2.5,50.5,quarry
82308,https://pleiades.stoa.org/places/82308,Untitled,-1.5,53.5,mine
