key,term,definition,same_as,uri
abuts,abuts,"for example, the Forum Holitorium abuts the Forum Boarium; Ancona abuts the Hadriaticum Mare",,https://pleiades.stoa.org/vocabularies/relationship-types/abuts
dependent,administrative dependent of,,,https://pleiades.stoa.org/vocabularies/relationship-types/dependent
ally,ally of,,,https://pleiades.stoa.org/vocabularies/relationship-types/ally
bounds,bounds,forms an edge or border for,,https://pleiades.stoa.org/vocabularies/relationship-types/bounds
capital,capital of,"for example, The capital of Maxima Caesariensis from 296 to 800 CE was London",,https://pleiades.stoa.org/vocabularies/relationship-types/capital
communicates,communicates with,"for connected structures, regions, areas, and bodies of water where flow direction is inappropriate, undefined, or unknown",,https://pleiades.stoa.org/vocabularies/relationship-types/communicates
connection,connection,legacy and imports only,,https://pleiades.stoa.org/vocabularies/relationship-types/connection
crosses,crosses,"for bridges, the object of the connection is the river being spanned",,https://pleiades.stoa.org/vocabularies/relationship-types/crosses
flows_into,flows into,"as for rivers, aqueducts, and connected sources and bodies of water",,https://pleiades.stoa.org/vocabularies/relationship-types/flows_into
flows_through,flows through,"for example, the Pulvar river flows through the Bolāghi Gorge",,https://pleiades.stoa.org/vocabularies/relationship-types/flows_through
founded,founded by,,,https://pleiades.stoa.org/vocabularies/relationship-types/founded
garrisoned_by,garrisoned by,,,https://pleiades.stoa.org/vocabularies/relationship-types/garrisoned_by
intersects,intersects,,,https://pleiades.stoa.org/vocabularies/relationship-types/intersects
isopoliteia,isopoliteia,"grant of citizenship rights between Greek states which were to remain independent (as defined by OCD, s.v. ""isopoliteia""",,https://pleiades.stoa.org/vocabularies/relationship-types/isopoliteia
at,located at,for cultural features at the site of a physical feature or another cultural feature,,https://pleiades.stoa.org/vocabularies/relationship-types/at
east_of,located east of,,,https://pleiades.stoa.org/vocabularies/relationship-types/east_of
in,located in,"for example, an island is located in a body of water",,https://pleiades.stoa.org/vocabularies/relationship-types/in
in_territory_of,located in territory of,"for example, a village is located in the territory of a people",,https://pleiades.stoa.org/vocabularies/relationship-types/in_territory_of
near,located near,near or adjacent to,,https://pleiades.stoa.org/vocabularies/relationship-types/near
north_of,located north of,,,https://pleiades.stoa.org/vocabularies/relationship-types/north_of
northeast_of,located northeast of,,,https://pleiades.stoa.org/vocabularies/relationship-types/northeast_of
northwest_of,located northwest of,,,https://pleiades.stoa.org/vocabularies/relationship-types/northwest_of
on,located on,"for example, a settlement said to be on a road or river",,https://pleiades.stoa.org/vocabularies/relationship-types/on
south_of,located south of,,,https://pleiades.stoa.org/vocabularies/relationship-types/south_of
southeast_of,located southeast of,,,https://pleiades.stoa.org/vocabularies/relationship-types/southeast_of
southwest_of,located southwest of,,,https://pleiades.stoa.org/vocabularies/relationship-types/southwest_of
west_of,located west of,,,https://pleiades.stoa.org/vocabularies/relationship-types/west_of
material_source,material sourced from,"for example, stone for the Pont du Gard was quarried at Estel",,https://pleiades.stoa.org/vocabularies/relationship-types/material_source
member,member of,"a member of a union, league, or alliance",,https://pleiades.stoa.org/vocabularies/relationship-types/member
mentioned,mentioned at,"for example, a Buddhist monastery is named in a graffito from Sigirya",,https://pleiades.stoa.org/vocabularies/relationship-types/mentioned
met_at,met at,"for example, the bouleuterion at Dodona was the customary meeting place of the Epirote league",,https://pleiades.stoa.org/vocabularies/relationship-types/met_at
route_next,next place in route,reflects a connection from one place to another on the testimony of a written itinerary or similar source,,https://pleiades.stoa.org/vocabularies/relationship-types/route_next
part_of_admin,part of (administrative),"a part of an administrative district or command, like a province or state",,https://pleiades.stoa.org/vocabularies/relationship-types/part_of_admin
part_of_analytical,part of (analytical),"for modern groupings of places for purposes of scholarly analysis or cultural administration, as in an ""archaeological landscape"" recognized in the UNESCO World Heritage List",,https://pleiades.stoa.org/vocabularies/relationship-types/part_of_analytical
part_of_physical,part of (physical/topographic),"for physical/topographic features, e.g., between and peninsula and the island it's a part of",,https://pleiades.stoa.org/vocabularies/relationship-types/part_of_physical
part_of_regional,part of (regional),said to be part of a named region,,https://pleiades.stoa.org/vocabularies/relationship-types/part_of_regional
phase,phase of (archaeological),for a place resource that describes one archaeological phase of a multi-phase feature,,https://pleiades.stoa.org/vocabularies/relationship-types/phase
port_of,port of,"for example, Panormos served as the main port of Didyma",,https://pleiades.stoa.org/vocabularies/relationship-types/port_of
related,related,,,https://pleiades.stoa.org/vocabularies/relationship-types/related
relocated_to,relocated to,"for example, as Klazomenai was relocated from a mainland site to an island in antiquity",,https://pleiades.stoa.org/vocabularies/relationship-types/relocated_to
same_as,same as,used to link a place entry based on ancient testimony only to a place entry with archaeological evidence to indicate possible equivalence,,https://pleiades.stoa.org/vocabularies/relationship-types/same_as
succeeds,succeeds,comes after (at the same general location),,https://pleiades.stoa.org/vocabularies/relationship-types/succeeds
sympoliteia,sympoliteia,"grant of citizenship rights between Greek states that were to be combined to form a single state (as defined by OCD, s.v. ""sympoliteia""",,https://pleiades.stoa.org/vocabularies/relationship-types/sympoliteia
