key,term,definition,same_as,uri
akk,Akkadian,"The ancient Akkadian language, rendered in its traditional writing system (i.e., cuneiform).",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/akk
sq,Albanian,From ISO 639-3 (TAVO abbrev: alb),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/sq
ar,Arabic,"The Arabic language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ar
arq,Arabic (Algerian),The Arabic language as spoken and written in Algeria (as distinct from Modern Standard Arabic),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/arq
arz,Arabic (Egyptian),The Arabic language as spoken and written in Egypt (as distinct from Modern Standard Arabic),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/arz
ayl,Arabic (Libyan),The Arabic language as spoken and written in Libya (as distinct from Modern Standard Arabic),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ayl
acm,Arabic (Mesopotamian),The Arabic language as spoken and written in Mesopotamia (as distinct from Modern Standard Arabic),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/acm
arb,Arabic (Modern Standard),Standard Arabic in its regular script as defined by http://en.wikipedia.org/wiki/Modern_Standard_Arabic.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/arb
ary,Arabic (Moroccan),The Arabic language as spoken and written in Morocco (as distinct from Modern Standard Arabic),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ary
aeb,Arabic (Tunisian),The Arabic language as spoken and written in Tunisia (as distinct from modern Standard Arabic),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/aeb
arbd,Arabic Dialect (from GANE),A non-standard language code that came in with TAVO+GANE data. It should not be reused on new content items.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/arbd
arc,Aramaic,From ISO 639-3 (TAVO abbrev: ara),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/arc
hy,Armenian,From ISO 639-3 (TAVO abbrev: arm),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/hy
asyr,Assyrian (dialect of Akkadian),From ISO 639-3 (TAVO abbrev: ass),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/asyr
ae,Avestan,From ISO 639-3 (TAVO abbrev: av),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ae
az-Arab,Azerbaijani (in Arabic script),"The Azerbaijani language, rendered in the Arabic writing system, as defined by the IANA language subtag registry.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/az-Arab
az-Cyrl,Azerbaijani (in Cyrillic),"The Azerbaijani language, written in the Cyrillic writing system, as defined by the IANA language subtag registry.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/az-Cyrl
az-Latn,Azerbaijani (in Latin script),"The Azerbaijani language, written in the Latin writing system, as defined by the IANA language subtag registry.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/az-Latn
baby,Babylonian (dialect of Akkadian),From ISO 639-3 (TAVO abbrev: ba),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/baby
bn,Bengali,"The Bengali language, written in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/bn
bg,Bulgarian (Cyrillic),"The Bulgarian language, written in its standard (Cyrillic) writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/bg
bg-Latn,Bulgarian (in Latin characters),The Bulgarian language written in Latin characters.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/bg-Latn
cana,Canaanite,From LINGUIST list (TAVO abbrev: ka),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/cana
ca,Catalan,"The Catalan (Valencian) language, written in Latin script, as registered in the IANA Language Subtag Registry",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ca
zh,Chinese,From ISO 639-3 (TAVO abbrev: ch),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/zh
cu,Church Slavic,"The Church Slavic language, also known as (Old) Church Slavonic, Old Slavonic, or Old Bulgarian as defined in the IANA Language Subtag Registry, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/cu
cop,Coptic,"The Coptic language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/cop
co,Corsican,"The Corsican language, written in the Latin writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/co
crh,Crimean Tatar,The Crimean Tatar (Crimean Turkish) language.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/crh
hr,Croatian,"The modern Croatian language, rendered in its customary Roman script.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/hr
nl,Dutch,"The Dutch language, rendered in its standard writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/nl
xeb,Eblan,The ancient Eblaite language as defined by the IANA Language Subtag Registry.,,https://pleiades.stoa.org/vocabularies/ancient-name-languages/xeb
egy,Egyptian (Ancient; writing system unspecified),From ISO 639-3 (TAVO abbrev: äg),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy
egy-Egyd,Egyptian (ancient; Demotic),"The ancient Egyptian language, written in the Demotic writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy-Egyd
egy-mdcegyp,Egyptian (ancient; Heiroglyphic: Manuel de Codage),"The ancient Egyptian language, written in Hieroglyphs and encoded in Manuel de Codage.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy-mdcegyp
egy-Egyh,Egyptian (ancient; Hieratic),"The ancient Egyptian language, written in the Hieratic writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy-Egyh
egy-Egyp,Egyptian (ancient; Hieroglyphic),"The ancient Egyptian language, written in Hieroglyphs.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy-Egyp
egy-leidentr,Egyptian (ancient; Leiden),"The ancient Egyptian language in Leiden Unified Transliteration, as recommended by the International Association of Egyptologists.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy-leidentr
egy-mdctrans,Egyptian (ancient; Manuel de Codage),"The ancient Egyptian language, encoded in Manuel de Codage.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/egy-mdctrans
elx,Elamite,From ISO 639-3 (TAVO abbrev: el),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/elx
en,English,"The English language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/en
amh,"Ethiopian (Geez, Amharic)",From LINGUIST list (TAVO abbrev: äth),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/amh
ett,Etruscan,"The Etruscan language, written in Old Italic script.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ett
etruscan-in-latin-characters,Etruscan (in Latin characters),"Attested from ca. 700 BC to AD 50 AD, the Etruscan language has historically been considered an isolate, but consensus now holds that it forms part of the Tyrsenian language family.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/etruscan-in-latin-characters
frk,Frankish,From ISO 639-3 (TAVO abbrev: frä),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/frk
fr,French,"The French language, rendered in its standard writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/fr
ka,Georgian,From ISO 639-3 (TAVO abbrev: ge),,https://pleiades.stoa.org/vocabularies/ancient-name-languages/ka
de,German,"The German language, rendered in its standard writing system",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/de
grc-Linb,Greek (ancient in Linear B),"The ancient Greek language, written in the Linear B writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/grc-Linb
grc,Greek (ancient),"The ancient greek language, rendered in its standard writing system.",,https://pleiades.stoa.org/vocabularies/ancient-name-languages/grc
