created,description,details,provenance,title,uri,id,place_id,accuracy_assessment_uri,accuracy_radius,archaeological_remains,association_certainty,geometry_wkt,year_after_which,year_before_which,location_precision
2026-01-20T18:19:02Z,Location based on OpenStreetMap,,"OpenStreetMap (Node 2033057303, version 5, osm:changeset=67425551, 2019-02-21T11:23:14Z)","OSM location of so-called ""Casa dei Ceii""",https://pleiades.stoa.org/places/999909607/osm-location-casa-dei-ceii,osm-location-casa-dei-ceii,999909607,https://pleiades.stoa.org/features/metadata/generic-osm-accuracy-assessment,20.0,unknown,certain,POINT (14.4895058 40.7500099),-30,300,precise
2026-01-20T18:22:20Z,Location based on OpenStreetMap,,"OpenStreetMap (Node 2033057320, version 6, osm:changeset=90181886, 2020-08-31T09:29:19Z)","OSM location of the so-called ""Casa del Larario di Achille""",https://pleiades.stoa.org/places/999909608/casa-del-larario-di-achille,casa-del-larario-di-achille,999909608,https://pleiades.stoa.org/features/metadata/generic-osm-accuracy-assessment,20.0,unknown,certain,POINT (14.4893686 40.7503865),-30,300,precise
2025-11-19T20:28:13Z,Location based on OpenStreetMap,,"OpenStreetMap (Node 1448257814, version 1, osm:changeset=9421110, 2011-09-28T17:01:50Z)",location of Monte Tamburino necropolis,https://pleiades.stoa.org/places/999917206/location-of-monte-tamburino-necropolis,location-of-monte-tamburino-necropolis,999917206,https://pleiades.stoa.org/features/metadata/generic-osm-accuracy-assessment,20.0,unknown,certain,POINT (11.3758803 44.2723222),-550,-30,precise
2025-05-09T19:07:47Z,Imagery Location after Anselmino 1989.,,Pleiades,Imagery Location,https://pleiades.stoa.org/places/9996091/imagery-location,imagery-location,9996091,https://pleiades.stoa.org/features/metadata/google-earth-2016ff,5.0,unknown,certain,POINT (2.347291 36.553045),-30,300,precise
2012-12-28T15:20:33Z,verified in Google Earth 2012,,Pleiades,Imagery location of the Sep. Scipionum,https://pleiades.stoa.org/places/999196280/location-of-the-sep.-scipionum,location-of-the-sep.-scipionum,999196280,https://pleiades.stoa.org/features/metadata/google-earth-and-geoeye-imagery-2012,5.0,substantive,certain,POINT (12.500278 41.875833),-330,300,precise
2025-11-19T20:29:15Z,"Point representing the location of the Tel Mor site, derived from an OpenStreetMap Node.",,"OpenStreetMap (Node 278478653, version 8, osm:changeset=97134498, 2021-01-07T23:50:01Z)",OSM location of תל מור,https://pleiades.stoa.org/places/999180093/5ea5dc-5de5d55e8,5ea5dc-5de5d55e8,999180093,https://pleiades.stoa.org/features/metadata/generic-osm-accuracy-assessment,20.0,substantive,certain,POINT (34.6564616 31.8230961),-1400,-30,precise
2026-01-20T18:21:12Z,representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 33086,DARMC OBJECTID: 33086,DARMC location 33086,https://pleiades.stoa.org/places/99010/darmc-location-33086,darmc-location-33086,99010,https://pleiades.stoa.org/features/metadata/darmc-c,10000.0,unknown,certain,POINT (10.701462 55.131998),-30,640,precise
2025-11-19T20:28:39Z,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 8084,DARMC OBJECTID: 8084,DARMC location 8084,https://pleiades.stoa.org/places/99006/darmc-location-8084,darmc-location-8084,99006,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (5.425321 51.962203),-30,300,precise
2025-11-19T20:27:06Z,"Representative point location, site precision",,Digital Atlas of the Roman Empire (2012-10-15),DARE Location,https://pleiades.stoa.org/places/99006/dare-location,dare-location,99006,https://pleiades.stoa.org/features/metadata/dare-3,10.0,unknown,certain,POINT (5.422778 51.970278),-30,300,precise
2025-11-19T20:29:19Z,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 14534,DARMC OBJECTID: 14534,DARMC location 14534,https://pleiades.stoa.org/places/99030/darmc-location-14534,darmc-location-14534,99030,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (10.529762 53.286333),-30,640,precise
2025-11-19T20:29:00Z,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 15472,DARMC OBJECTID: 15472,DARMC location 15472,https://pleiades.stoa.org/places/99066/darmc-location-15472,darmc-location-15472,99066,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (6.515659 52.815232),-30,640,precise
2025-11-19T20:27:52Z,Representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 23640,DARMC OBJECTID: 23640,DARMC location 23640,https://pleiades.stoa.org/places/99007/darmc-location-23640,darmc-location-23640,99007,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (11.038789 53.143956),-30,300,precise
2026-01-20T18:20:22Z,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 8384,DARMC OBJECTID: 8384,DARMC location 8384,https://pleiades.stoa.org/places/99046/darmc-location-8384,darmc-location-8384,99046,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (5.122599 52.091167),-30,640,precise
2026-01-20T18:21:27Z,"Representative point location, site precision",,Digital Atlas of the Roman Empire (2012-10-15),DARE Location,https://pleiades.stoa.org/places/99046/dare-location,dare-location,99046,https://pleiades.stoa.org/features/metadata/dare-3,10.0,unknown,certain,POINT (5.121598 52.090701),-30,640,precise
2025-11-19T20:28:38Z,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 15365,DARMC OBJECTID: 15365,DARMC location 15365,https://pleiades.stoa.org/places/99057/darmc-location-15365,darmc-location-15365,99057,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (5.975467 51.994623),300,640,precise
2025-11-19T20:26:55Z,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,DARMC OBJECTID: 13507,DARMC OBJECTID: 13507,DARMC location 13507,https://pleiades.stoa.org/places/99000/darmc-location-13507,darmc-location-13507,99000,https://pleiades.stoa.org/features/metadata/darmc-a,10.0,unknown,certain,POINT (8.431214 52.307214),300,640,precise
