created,description,details,provenance,title,uri,id,place_id,name_type,language_tag,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,association_certainty,transcription_accuracy,transcription_completeness,year_after_which,year_before_which
2010-06-24T14:11:06Z,,,Barrington Atlas: BAtlas 1 D1 Gallia,Gallia,https://pleiades.stoa.org/places/993/gallia,gallia,993,geographic,,,Gallia,,,certain,accurate,complete,,
2010-06-24T14:11:07Z,,,Barrington Atlas: BAtlas 1 D1 Gallia,Galli,https://pleiades.stoa.org/places/993/galli,galli,993,geographic,,,Galli,,,certain,accurate,complete,,
2026-01-20T18:23:16Z,,,Pleiades,House of L. Ceius Secundus,https://pleiades.stoa.org/places/999909607/house-of-l-ceius-secundus,house-of-l-ceius-secundus,999909607,geographic,en,House of L. Ceius Secundus,House of L. Ceius Secundus,,,certain,accurate,complete,,
2026-01-20T18:20:23Z,,,Pleiades,House of Fabia and Tyrannus,https://pleiades.stoa.org/places/999909607/house-of-fabia-and-tyrannus,house-of-fabia-and-tyrannus,999909607,geographic,en,House of Fabia and Tyrannus,House of Fabia and Tyrannus,,,certain,accurate,complete,,
2026-01-20T18:22:19Z,,,Pleiades,Casa dei Ceii,https://pleiades.stoa.org/places/999909607/casa-dei-ceii,casa-dei-ceii,999909607,geographic,it,Casa dei Ceii,Casa dei Ceii,,,certain,accurate,complete,1700,2100
2026-01-20T18:22:38Z,,,Pleiades,House of the Ceii,https://pleiades.stoa.org/places/999909607/house-of-the-ceii,house-of-the-ceii,999909607,geographic,en,House of the Ceii,House of the Ceii,,,certain,accurate,complete,1700,2100
2026-01-20T18:19:28Z,,,Pleiades,I.6.15,https://pleiades.stoa.org/places/999909607/i-6-15,i-6-15,999909607,geographic,en,I.6.15,I.6.15,,,certain,accurate,complete,,
2026-01-20T18:19:57Z,,,Pleiades,Casa del Larario di Achille,https://pleiades.stoa.org/places/999909608/name.2015-06-30.8756282844,name.2015-06-30.8756282844,999909608,geographic,it,Casa del Larario di Achille,Casa del Larario di Achille,,,certain,accurate,complete,1700,2100
2026-01-20T18:22:44Z,,,Pleiades,House of the Lararium of Achilles,https://pleiades.stoa.org/places/999909608/name.2015-06-30.9596674971,name.2015-06-30.9596674971,999909608,geographic,en,House of the Lararium of Achilles,House of the Lararium of Achilles,,,certain,accurate,complete,1700,2100
2026-01-20T18:20:16Z,,,Pleiades,House of the Ilion Sanctuary,https://pleiades.stoa.org/places/999909608/name.2015-06-30.0336397063,name.2015-06-30.0336397063,999909608,geographic,en,House of the Ilion Sanctuary,House of the Ilion Sanctuary,,,certain,accurate,complete,1700,2100
