place_id,place_type
993,region
999909607,townhouse
999909608,townhouse
999917206,cemetery
999951524,city-wall
99995226,castle
999013462,fortified-settlement
9996091,villa
99965183,bridge
999196280,tomb
999180093,settlement
999273476,settlement
999238742,monument
99010,cemetery
99047,people
99006,fort
99026,label
99026,people
99030,settlement
99066,settlement
99007,cemetery
99050,label
99050,people
99046,fortified-settlement
99046,fort
99061,fort-2
99061,bath
99057,settlement
99000,settlement
99001,settlement
99056,cemetery
99040,label
99040,people
99017,settlement
99060,river
99037,label
99037,people
99021,fort-2
99021,fort
99063,cemetery
99034,label
99022,cemetery
99059,settlement
99038,label
99038,people
99002,fort
99055,region
99055,people
99043,forest
99014,fort-2
99015,cemetery
99054,tomb
99054,settlement-modern
99003,fort-2
99003,settlement-modern
99039,cemetery
99019,settlement
99058,fort-2
99058,fort
99035,label
99035,people
99062,settlement
99028,villa
99004,settlement
99045,settlement
99065,settlement
99032,label
99032,people
99024,fort-2
99024,fort
99008,fort-2
99008,fort
99049,settlement
99009,mountain
99025,settlement
99064,cemetery
99013,cemetery
99044,label
99044,people
99004197,settlement
99004197,archaeological-site
990721366,tomb
990721366,cemetery
990688484,settlement
990568323,theatre
997994574,amphitheatre
997707343,settlement
997496371,hillfort
997496371,monument
99738107,unlocated
99738107,settlement
997535409,hill
997535409,tumulus
99663,canal
99662,canal
99692383,townhouse
996799901,settlement
996877399,temple-2
996473997,temple-2
996473998,temple-2
996483532,castle
99643110,cemetery
996331551,archaeological-site
991900272,ruin
991900272,villa
991964195,settlement
991964195,archaeological-site
991638694,bath
991190962,cemetery
991406,province
991410,province
991407,province
991401,province
991402,province-2
991408,province-2
991409,province
991426364,nuraghe
991349,province-2
991324,province
991373,diocese-roman
991365,province-2
991332,province
991345,province
991345,province-2
991328,province
991390,province
991386,province
991387,province
991329,province
991352,province-2
991344,province-2
991333,province-2
991364,province-2
991372,province-2
991325,province
991343,province
991396,province-2
991379,province
991338,province
991359,province
991322,province
991375,province
991363,province-2
991334,province-2
991335,province
991362,province-2
991374,province-2
991323,province
991358,province
991339,province
991381,province-2
991397,province-2
991354,province-2
991342,province
991394,province-2
991357,province
991341,province-2
991336,province
991361,province
991377,province-2
991398,province
991320,province
991321,province-2
991376,province-2
991337,province
991340,province
991317,province-2
991383,province
991330,province-2
991367,province-2
991388,province
991351,province-2
991347,province-2
991346,province-2
991350,province
991350,label
991393,province
