uri,title,summary,pleiades_uri
https://chronique.efa.gr/?r=topo_public&id=4436,"Acharnes, Acharnae, Menidi",,https://pleiades.stoa.org/places/579843
https://chronique.efa.gr/?r=topo_public&id=36658,Agrinio,,https://pleiades.stoa.org/places/540599
https://chronique.efa.gr/?r=topo_public&id=4350,"Aiani, Kalliani",,https://pleiades.stoa.org/places/491511
https://chronique.efa.gr/?r=topo_public&id=4353,Aidipsos,,https://pleiades.stoa.org/places/540602
https://chronique.efa.gr/?r=topo_public&id=36776,Amfissa,,https://pleiades.stoa.org/places/540630
https://chronique.efa.gr/?r=topo_public&id=2910,"Amorgos, Kastron, Kastro, Chora",,https://pleiades.stoa.org/places/599484
https://chronique.efa.gr/?r=topo_public&id=3559,"Amphiklia, Dadion",,https://pleiades.stoa.org/places/540629
https://chronique.efa.gr/?r=topo_public&id=41265,"Andros, Kastron",,https://pleiades.stoa.org/places/79294
https://chronique.efa.gr/?r=topo_public&id=38918,"Antimacheia, Andemaki",,https://pleiades.stoa.org/places/599495
https://chronique.efa.gr/?r=topo_public&id=4615,"Archaia Korinthos, Palaia",,https://pleiades.stoa.org/places/570182
https://chronique.efa.gr/?r=topo_public&id=6376,"Archaia Messini, Ithomis, Mavrommati Ithomis",,https://pleiades.stoa.org/places/570479
https://chronique.efa.gr/?r=topo_public&id=4526,Archaia Olympia,,https://pleiades.stoa.org/places/570531
https://chronique.efa.gr/?r=topo_public&id=3839,"Argos Orestiko, Chroupista, Krupishta",,https://pleiades.stoa.org/places/481739
https://chronique.efa.gr/?r=topo_public&id=4612,"Arkessini, Arkessini",,https://pleiades.stoa.org/places/599517
https://chronique.efa.gr/?r=topo_public&id=69917,"Asclepieion, Épidaure, Epidaurus, Sanctuaire, Sanctuary",,https://pleiades.stoa.org/places/570127
https://chronique.efa.gr/?r=topo_public&id=70024,"Asinè, Asini, acropole",,https://pleiades.stoa.org/places/570124
https://chronique.efa.gr/?r=topo_public&id=3717,Asini,,https://pleiades.stoa.org/places/570124
https://chronique.efa.gr/?r=topo_public&id=3605,"Asopos, Kondevianika",,https://pleiades.stoa.org/places/570129
https://chronique.efa.gr/?r=topo_public&id=3707,"Assiros, Asseros, Guvesna",,https://pleiades.stoa.org/places/491529
https://chronique.efa.gr/?r=topo_public&id=39084,"Astypalaia, Kastello",,https://pleiades.stoa.org/places/599536
https://chronique.efa.gr/?r=topo_public&id=2125,Cape Salmenikos,,https://pleiades.stoa.org/places/570236
https://chronique.efa.gr/?r=topo_public&id=21955,Chalandrion,,https://pleiades.stoa.org/places/580076
https://chronique.efa.gr/?r=topo_public&id=19912,Chalki,,https://pleiades.stoa.org/places/589742
https://chronique.efa.gr/?r=topo_public&id=38678,Chalki,,https://pleiades.stoa.org/places/589742
https://chronique.efa.gr/?r=topo_public&id=38832,Chalki,,https://pleiades.stoa.org/places/589742
https://chronique.efa.gr/?r=topo_public&id=36917,"Chéronée, Chaironia, Cheronia, Kaironia, Kopraina, Kapraina (V79/1916)",,https://pleiades.stoa.org/places/540701
https://chronique.efa.gr/?r=topo_public&id=37347,Chersonisos Methanon,,https://pleiades.stoa.org/places/570482
https://chronique.efa.gr/?r=topo_public&id=34951,"Corfou, Corfu, Kerkyra, Corcyra, Scheria",,https://pleiades.stoa.org/places/530834
https://chronique.efa.gr/?r=topo_public&id=6269,"Crete, Kriti, Crète",,https://pleiades.stoa.org/places/1001897
https://chronique.efa.gr/?r=topo_public&id=37333,"Cythère, Kythira, Kithira, Kythera, Tsirigo",,https://pleiades.stoa.org/places/570400
https://chronique.efa.gr/?r=topo_public&id=36984,Davlia,,https://pleiades.stoa.org/places/540723
https://chronique.efa.gr/?r=topo_public&id=26450,"Didymoteicho, Dimotika",,https://pleiades.stoa.org/places/501572
https://chronique.efa.gr/?r=topo_public&id=17708,Dikti Ori,,https://pleiades.stoa.org/places/589676
https://chronique.efa.gr/?r=topo_public&id=32800,"Dolichi, Doliche, Doukhlista",,https://pleiades.stoa.org/places/491576
https://chronique.efa.gr/?r=topo_public&id=28675,"Drymos, Drymiglava, Sidirokefalon",,https://pleiades.stoa.org/places/507387
https://chronique.efa.gr/?r=topo_public&id=37445,"Égine, Aigina, Aegina",,https://pleiades.stoa.org/places/579853
https://chronique.efa.gr/?r=topo_public&id=18165,"Elatia, Drachmani",,https://pleiades.stoa.org/places/543697
https://chronique.efa.gr/?r=topo_public&id=21333,"Elis, Ilis, Palaiopolis",,https://pleiades.stoa.org/places/570221
https://chronique.efa.gr/?r=topo_public&id=38464,Elounda,,https://pleiades.stoa.org/places/589959
https://chronique.efa.gr/?r=topo_public&id=41374,Eparchia Androu,,https://pleiades.stoa.org/places/589693
https://chronique.efa.gr/?r=topo_public&id=18430,Erymanthus,,https://pleiades.stoa.org/places/570238
https://chronique.efa.gr/?r=topo_public&id=18495,"Evpalion, Soule (anc.)",,https://pleiades.stoa.org/places/540782
https://chronique.efa.gr/?r=topo_public&id=18904,"Farai, Laloukosta",,https://pleiades.stoa.org/places/570590
https://chronique.efa.gr/?r=topo_public&id=32798,Farsala,,https://pleiades.stoa.org/places/541042
https://chronique.efa.gr/?r=topo_public&id=18697,"Feneos, Sivista",,https://pleiades.stoa.org/places/570595
https://chronique.efa.gr/?r=topo_public&id=26455,"Feres, Pherrai",,https://pleiades.stoa.org/places/501402
https://chronique.efa.gr/?r=topo_public&id=18705,"Figalia, Pavlitsa, Pavlitza",,https://pleiades.stoa.org/places/570598
https://chronique.efa.gr/?r=topo_public&id=37703,"Flious, Phlious, Floious, Phlius, Phleius",,https://pleiades.stoa.org/places/570602
https://chronique.efa.gr/?r=topo_public&id=18950,"Folegandros, Polykandro",,https://pleiades.stoa.org/places/589996
https://chronique.efa.gr/?r=topo_public&id=17241,"Fyliadon, Chiliadou",,https://pleiades.stoa.org/places/541055
https://chronique.efa.gr/?r=topo_public&id=17227,"Fyli, Chasia",,https://pleiades.stoa.org/places/580079
https://chronique.efa.gr/?r=topo_public&id=34734,"Gaios, Paxoi",,https://pleiades.stoa.org/places/531048
https://chronique.efa.gr/?r=topo_public&id=19474,"Galipsos, Dedebali",,https://pleiades.stoa.org/places/501421
https://chronique.efa.gr/?r=topo_public&id=37399,Glyfada,,https://pleiades.stoa.org/places/579855
https://chronique.efa.gr/?r=topo_public&id=33084,"Gomfoi, Rapsista",,https://pleiades.stoa.org/places/540792
https://chronique.efa.gr/?r=topo_public&id=37413,Hydra,,https://pleiades.stoa.org/places/570299
https://chronique.efa.gr/?r=topo_public&id=21334,"Hymette, Hymettos, Hymettus, Imittos Oros",,https://pleiades.stoa.org/places/579955
https://chronique.efa.gr/?r=topo_public&id=38345,"Ierapetra, Hierapetra, Kasteli",,https://pleiades.stoa.org/places/589807
https://chronique.efa.gr/?r=topo_public&id=28163,"Imathia, Emathia",,https://pleiades.stoa.org/places/491553
https://chronique.efa.gr/?r=topo_public&id=10927,"Inachos, Pasas (local)",,https://pleiades.stoa.org/places/570313
https://chronique.efa.gr/?r=topo_public&id=41146,"Ios, Nio",,https://pleiades.stoa.org/places/599673
https://chronique.efa.gr/?r=topo_public&id=40648,Iraio,,https://pleiades.stoa.org/places/599641
https://chronique.efa.gr/?r=topo_public&id=20890,Isthmia,,https://pleiades.stoa.org/places/570317
https://chronique.efa.gr/?r=topo_public&id=21316,Kalandra,,https://pleiades.stoa.org/places/501515
https://chronique.efa.gr/?r=topo_public&id=21301,"Kalapodi, Kalapodion, Abai",,https://pleiades.stoa.org/places/540582
https://chronique.efa.gr/?r=topo_public&id=23279,Kardamyli,,https://pleiades.stoa.org/places/570330
https://chronique.efa.gr/?r=topo_public&id=34995,Kassiopi,,https://pleiades.stoa.org/places/530920
https://chronique.efa.gr/?r=topo_public&id=39688,Kastellorizon,,https://pleiades.stoa.org/places/638989
https://chronique.efa.gr/?r=topo_public&id=70045,"Kastri, Chalandriani (prehistoric settlement)",,https://pleiades.stoa.org/places/30347988
https://chronique.efa.gr/?r=topo_public&id=28967,"Kavala, Neapolis",,https://pleiades.stoa.org/places/894133
https://chronique.efa.gr/?r=topo_public&id=22887,"Kefissia, Kifisia",,https://pleiades.stoa.org/places/579972
https://chronique.efa.gr/?r=topo_public&id=22224,"Kerinia, Gardena (156/1928)",,https://pleiades.stoa.org/places/570354
https://chronique.efa.gr/?r=topo_public&id=30926,"Kestrini, Skoupitsa",,https://pleiades.stoa.org/places/530942
https://chronique.efa.gr/?r=topo_public&id=23204,Kipia,,https://pleiades.stoa.org/places/894133
https://chronique.efa.gr/?r=topo_public&id=26277,"Kladeos, Kladeon, Stravokefalon",,https://pleiades.stoa.org/places/570358
https://chronique.efa.gr/?r=topo_public&id=25903,Kleitor,,https://pleiades.stoa.org/places/570360
https://chronique.efa.gr/?r=topo_public&id=22478,Koropi,,https://pleiades.stoa.org/places/580109
https://chronique.efa.gr/?r=topo_public&id=37819,"Krestena, Selinous",,https://pleiades.stoa.org/places/570659
https://chronique.efa.gr/?r=topo_public&id=37332,Kyra,,https://pleiades.stoa.org/places/570614
https://chronique.efa.gr/?r=topo_public&id=32839,"Larissa, Larisa",,https://pleiades.stoa.org/places/894019
https://chronique.efa.gr/?r=topo_public&id=6128,Lechaion (Ancient),,https://pleiades.stoa.org/places/570420
https://chronique.efa.gr/?r=topo_public&id=35505,"Lefkas, Lefkada, Lefkados, leucade",,https://pleiades.stoa.org/places/530974
https://chronique.efa.gr/?r=topo_public&id=37077,"Lefktra, Parapoungia (89/1915)",,https://pleiades.stoa.org/places/540913
https://chronique.efa.gr/?r=topo_public&id=24247,"Loutros, Therma Loutra, Ilitra",,https://pleiades.stoa.org/places/501649
https://chronique.efa.gr/?r=topo_public&id=24025,Macedonia,,https://pleiades.stoa.org/places/981531
https://chronique.efa.gr/?r=topo_public&id=23727,"Mamakon, Kato Mammako",,https://pleiades.stoa.org/places/540927
https://chronique.efa.gr/?r=topo_public&id=24672,Maronia,,https://pleiades.stoa.org/places/501507
https://chronique.efa.gr/?r=topo_public&id=37349,Megara,,https://pleiades.stoa.org/places/674250
https://chronique.efa.gr/?r=topo_public&id=8571,"Megisti, Kastellorizon, Castelrosso",,https://pleiades.stoa.org/places/638989
https://chronique.efa.gr/?r=topo_public&id=8584,"Messini (ancient), Messène antique",,https://pleiades.stoa.org/places/570479
https://chronique.efa.gr/?r=topo_public&id=29054,"Methoni, Methone, Neon Eleftherochorion",,https://pleiades.stoa.org/places/491663
https://chronique.efa.gr/?r=topo_public&id=41534,"Milos, Plaka",,https://pleiades.stoa.org/places/570475
https://chronique.efa.gr/?r=topo_public&id=43157,"Mithymna, Molyvos, Molivdos",,https://pleiades.stoa.org/places/550738
https://chronique.efa.gr/?r=topo_public&id=70029,"Monemvasia Akropolis, Acropole, ville haute",,https://pleiades.stoa.org/places/109466300
https://chronique.efa.gr/?r=topo_public&id=4998,"Mykines, Mycènes, Charvati (V79/1916)",,https://pleiades.stoa.org/places/570491
https://chronique.efa.gr/?r=topo_public&id=41635,"Mykonos, Chora, Kamenaki",,https://pleiades.stoa.org/places/599808
https://chronique.efa.gr/?r=topo_public&id=36409,Nafpaktos,,https://pleiades.stoa.org/places/540960
https://chronique.efa.gr/?r=topo_public&id=43168,"Napi, Klomidados",,https://pleiades.stoa.org/places/550769
https://chronique.efa.gr/?r=topo_public&id=37687,"Nauplie, Nafplio",,https://pleiades.stoa.org/places/570501
https://chronique.efa.gr/?r=topo_public&id=5465,"Nemea, Ag. Georgios",,https://pleiades.stoa.org/places/570505
https://chronique.efa.gr/?r=topo_public&id=11683,"Neon Soulion, Subashkoi",,https://pleiades.stoa.org/places/501616
https://chronique.efa.gr/?r=topo_public&id=11957,"Nestos Potamos, Mesta, Karasu",,https://pleiades.stoa.org/places/501524
https://chronique.efa.gr/?r=topo_public&id=41180,"Nisida Despotiko, Despotiki, Prepesinthos",,https://pleiades.stoa.org/places/590012
https://chronique.efa.gr/?r=topo_public&id=39576,Nisiros,,https://pleiades.stoa.org/places/599830
https://chronique.efa.gr/?r=topo_public&id=38265,Nisis Koufonision,,https://pleiades.stoa.org/places/589910
https://chronique.efa.gr/?r=topo_public&id=7757,Oinoussa,,https://pleiades.stoa.org/places/501616
https://chronique.efa.gr/?r=topo_public&id=36828,"Orchomène, Orchomenos, Adamas, Athamas, Skripou (JO54/1955)",,https://pleiades.stoa.org/places/540987
https://chronique.efa.gr/?r=topo_public&id=7349,"Oreoi, Orei",,https://pleiades.stoa.org/places/543722
https://chronique.efa.gr/?r=topo_public&id=9070,"Ouranopolis, Prosforion, Pyrgos",,https://pleiades.stoa.org/places/501599
https://chronique.efa.gr/?r=topo_public&id=8043,"Pallini, Ano charvati",,https://pleiades.stoa.org/places/580051
https://chronique.efa.gr/?r=topo_public&id=11253,Paradisos,,https://pleiades.stoa.org/places/668393
https://chronique.efa.gr/?r=topo_public&id=31179,Paramythia,,https://pleiades.stoa.org/places/531064
