uri,title,summary,pleiades_uri
https://chronique.efa.gr/?r=topo_public&id=70002,"Académie de Platon, Academy of Plato, Ακαδημία Πλάτωνος",,https://pleiades.stoa.org/places/479670108
https://chronique.efa.gr/?r=topo_public&id=70007,"Agios Andreas, Άγιος Ανδρέας",,https://pleiades.stoa.org/places/492082396
https://chronique.efa.gr/?r=topo_public&id=66093,"Ag. Panteleimon (Marathon), Άγιος Παντελεήμων Μαραθώνος",,https://pleiades.stoa.org/places/226716587
https://chronique.efa.gr/?r=topo_public&id=4452,"Aigiali, Langada, Λαγκάδα Δ.Δ.Αιγιάλης",,https://pleiades.stoa.org/places/599476
https://chronique.efa.gr/?r=topo_public&id=7126,"Akres, Lithovounion, Ano Botinon, Δ.Δ.Ακρών (Λιθοβουνίου)",,https://pleiades.stoa.org/places/540616
https://chronique.efa.gr/?r=topo_public&id=26415,"Alexandroupolis, Dedeagach (Dedeağaç), Δ.Δ. Αλεξανδρουπόλεως",,https://pleiades.stoa.org/places/501595
https://chronique.efa.gr/?r=topo_public&id=69218,"Alyki, Alyke, Αλυκή, η",,https://pleiades.stoa.org/places/501346
https://chronique.efa.gr/?r=topo_public&id=61098,"Amathous, Amathonte, Amathus City-Site, Αμαθούς, Αμαθούντα",,https://pleiades.stoa.org/places/707462
https://chronique.efa.gr/?r=topo_public&id=66901,"Analipsis (anc. Maltezana), Ανάληψις, η (αρχαία Μαλτεζάνα)",,https://pleiades.stoa.org/places/599782
https://chronique.efa.gr/?r=topo_public&id=18364,"Ancient Epidauros, Palaia Epidavros, Épidaure, Παλαιά Επίδαυρος, Αρχαία Επίδαυρος",,https://pleiades.stoa.org/places/570228
https://chronique.efa.gr/?r=topo_public&id=1170,"Ano Mera, Δ.Δ.Άνω Μεράς",,https://pleiades.stoa.org/places/599848
https://chronique.efa.gr/?r=topo_public&id=37458,"Antikythera (island), Αντικύθηρα (νήσος)",,https://pleiades.stoa.org/places/560230
https://chronique.efa.gr/?r=topo_public&id=41413,"Apollonas, Apollon islet, Νησίδα Απόλλωνος",,https://pleiades.stoa.org/places/593460163
https://chronique.efa.gr/?r=topo_public&id=6376,"Archaia Messini, Ithomis, Mavrommati Ithomis, Δ.Δ.Αρχαίας Μεσσήνης",,https://pleiades.stoa.org/places/570479
https://chronique.efa.gr/?r=topo_public&id=21429,"Archaia Nemea, Iraklio (Previous), and archaeological site, Δ.Δ. Αρχαίας Νεμέας και αρχαιολογικός χώρος",,https://pleiades.stoa.org/places/570504
https://chronique.efa.gr/?r=topo_public&id=3839,"Argos Orestiko, Chroupista, Krupishta, Δ.Δ.Άργους Ορεστικού",,https://pleiades.stoa.org/places/481739
https://chronique.efa.gr/?r=topo_public&id=70024,"Asinè, Asini, acropole, Ασίνη, αρχαία ακρόπολη",,https://pleiades.stoa.org/places/570124
https://chronique.efa.gr/?r=topo_public&id=3717,"Asini, Δ.Δ.Ασίνης",,https://pleiades.stoa.org/places/570124
https://chronique.efa.gr/?r=topo_public&id=39015,"Asklipieion, sanctuaire d'Asclépios, Sanctuary of Asklepios, Ασκληπιείο, Αρχαιολογικός χώρος",,https://pleiades.stoa.org/places/599528
https://chronique.efa.gr/?r=topo_public&id=3707,"Assiros, Asseros, Guvesna, Δ.Δ.Ασσήρου",,https://pleiades.stoa.org/places/491529
https://chronique.efa.gr/?r=topo_public&id=39055,"Astypalaia island, Αστυπάλαια, νησί",,https://pleiades.stoa.org/places/599536
https://chronique.efa.gr/?r=topo_public&id=21955,"Chalandrion, Δ.Δ.Χαλανδρίου",,https://pleiades.stoa.org/places/580076
https://chronique.efa.gr/?r=topo_public&id=38678,"Chalki, island, Χάλκη, νήσος",,https://pleiades.stoa.org/places/589742
https://chronique.efa.gr/?r=topo_public&id=36917,"Chéronée, Chaironia, Cheronia, Kaironia, Kopraina, Kapraina (V79/1916), Δ.Δ.Χαιρωνείας, Κόπραινα",,https://pleiades.stoa.org/places/540701
https://chronique.efa.gr/?r=topo_public&id=37347,Chersonisos Methanon,,https://pleiades.stoa.org/places/570482
https://chronique.efa.gr/?r=topo_public&id=34951,"Corfou, Corfu, Kerkyra, Corcyra, Scheria, Κέρκυρα",,https://pleiades.stoa.org/places/530834
https://chronique.efa.gr/?r=topo_public&id=6269,"Crete, Kriti, Crète (island, île), Κρήτη (Νήσος)",,https://pleiades.stoa.org/places/1001897
https://chronique.efa.gr/?r=topo_public&id=41026,"Cyclades, Cycladic islands, Κυκλάδες, Νήσοι Κυκλάδων",,https://pleiades.stoa.org/places/560353
https://chronique.efa.gr/?r=topo_public&id=37333,"Cythère, Kythira, Kithira, Kythera, Tsirigo, Νησί Κύθηρα",,https://pleiades.stoa.org/places/570400
https://chronique.efa.gr/?r=topo_public&id=41420,"Daskalio, Vrachonisida Skandia, Skalia, Δασκαλιό",,https://pleiades.stoa.org/places/212270979
https://chronique.efa.gr/?r=topo_public&id=16981,"Dekelia, Tatoi",,https://pleiades.stoa.org/places/579907
https://chronique.efa.gr/?r=topo_public&id=70064,"Délos, Agora des Compétaliastes, Delos Agora of the Competaliasts, Δήλος, Αγορά των Κομπεταλιαστών",,https://pleiades.stoa.org/places/411301348
https://chronique.efa.gr/?r=topo_public&id=70099,"Delphes, Delfoi, Delfi, Delphi, Temple d'Apollon, Δελφοί, αρχαιολογικός χώρος, Ναός Απόλλωνος",,https://pleiades.stoa.org/places/464482219
https://chronique.efa.gr/?r=topo_public&id=70103,"Démétrias, Demetrias, Δημητριάς, Δημητριάδα",,https://pleiades.stoa.org/places/540730
https://chronique.efa.gr/?r=topo_public&id=17486,"Dikaia, Αρχαία Δίκαια",,https://pleiades.stoa.org/places/501399
https://chronique.efa.gr/?r=topo_public&id=17708,Dikti Ori,,https://pleiades.stoa.org/places/589676
https://chronique.efa.gr/?r=topo_public&id=37404,Dokos,,https://pleiades.stoa.org/places/570089
https://chronique.efa.gr/?r=topo_public&id=32800,"Dolichi, Doliche, Doukhlista, Δ.Δ. Δολίχης",,https://pleiades.stoa.org/places/491576
https://chronique.efa.gr/?r=topo_public&id=41189,"Donousa, Denousa, Denusa, Δονούσα",,https://pleiades.stoa.org/places/599596
https://chronique.efa.gr/?r=topo_public&id=17780,"Drakanon, Δράκανο",,https://pleiades.stoa.org/places/599598
https://chronique.efa.gr/?r=topo_public&id=28675,"Drymos, Drymiglava, Sidirokefalon, Δ.Δ.Δρυμού",,https://pleiades.stoa.org/places/507387
https://chronique.efa.gr/?r=topo_public&id=17491,"Drymos, Palimpei (JO206/1927), Δ.Δ.Δρυμού, Δρυμός, Παλίμπεη",,https://pleiades.stoa.org/places/530848
https://chronique.efa.gr/?r=topo_public&id=37445,"Égine, Aigina, Aegina (island), Αίγινα (νήσος)",,https://pleiades.stoa.org/places/579853
https://chronique.efa.gr/?r=topo_public&id=18165,"Elatia, Drachmani, Δ.Δ.Ελάτειας",,https://pleiades.stoa.org/places/543697
https://chronique.efa.gr/?r=topo_public&id=21333,"Elis, Ilis, Palaiopolis, Δ.Δ.Αρχαίας Ήλιδας (τ.Δ.Δ.Ήλιδος)",,https://pleiades.stoa.org/places/570221
https://chronique.efa.gr/?r=topo_public&id=38464,"Elounda, Ελούντα, αρχαία Ολους",,https://pleiades.stoa.org/places/589959
https://chronique.efa.gr/?r=topo_public&id=18430,Erymanthus,,https://pleiades.stoa.org/places/570238
