uri,title,summary,pleiades_uri
https://itiner-e.org/route-segment/10000,10000 Samosata-Arsameia pros Nymphaio,Conjectured Secondary Road,https://pleiades.stoa.org/places/658391
https://itiner-e.org/route-segment/10000,10000 Samosata-Arsameia pros Nymphaio,Conjectured Secondary Road,https://pleiades.stoa.org/places/658391
https://itiner-e.org/route-segment/10000,10000 Samosata-Arsameia pros Nymphaio,Conjectured Secondary Road,https://pleiades.stoa.org/places/658391
https://itiner-e.org/route-segment/10017,10017 Perre-Ablastha,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/658543
https://itiner-e.org/route-segment/10040,10040 Perre-Melitene,Conjectured Vespasian (69-79 CE) Main Road (Itinerarium Antonini),https://pleiades.stoa.org/places/629042
https://itiner-e.org/route-segment/10042,10042 Melitene-Satala,"Certain Vespasian (69-79 CE) Main Road (Tabula Peutingeriana, Itinerarium Antonini)",https://pleiades.stoa.org/places/629032
https://itiner-e.org/route-segment/10046,10046 Melitene-Satala,"Certain Main Road (Tabula Peutingeriana, Itinerarium Antonini)",https://pleiades.stoa.org/places/628963
https://itiner-e.org/route-segment/10046,10046 Melitene-Satala,"Certain Main Road (Tabula Peutingeriana, Itinerarium Antonini)",https://pleiades.stoa.org/places/628963
https://itiner-e.org/route-segment/10046,10046 Melitene-Satala,"Certain Main Road (Tabula Peutingeriana, Itinerarium Antonini)",https://pleiades.stoa.org/places/628963
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10053,10053 Drobeta road,Certain Secondary Road,https://pleiades.stoa.org/places/207077
https://itiner-e.org/route-segment/10055,10055 Dierna-Socol,Conjectured Secondary Road (Passes through Dierna-Eibenthal-Gornea-Moldova Veche-Pojejena de Sus-Socol),https://pleiades.stoa.org/places/207237
https://itiner-e.org/route-segment/10055,10055 Dierna-Socol,Conjectured Secondary Road (Passes through Dierna-Eibenthal-Gornea-Moldova Veche-Pojejena de Sus-Socol),https://pleiades.stoa.org/places/207237
https://itiner-e.org/route-segment/10059,10059 Arcidava-Centum Putea-‘Berzobis’,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206963
https://itiner-e.org/route-segment/10059,10059 Arcidava-Centum Putea-‘Berzobis’,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206963
https://itiner-e.org/route-segment/10062,10062 Tibiscum road,Certain Secondary Road,https://pleiades.stoa.org/places/207495
https://itiner-e.org/route-segment/10065,10065 Micia amphiteater road,Certain Secondary Road,https://pleiades.stoa.org/places/207286
https://itiner-e.org/route-segment/10066,10066 Micia road,Certain Secondary Road,https://pleiades.stoa.org/places/207286
https://itiner-e.org/route-segment/10067,10067 Micia road,Certain Secondary Road,https://pleiades.stoa.org/places/207286
https://itiner-e.org/route-segment/10068,10068 Apulum-Sebeș,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10068,10068 Apulum-Sebeș,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10068,10068 Apulum-Sebeș,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10068,10068 Apulum-Sebeș,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10069,10069 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10069,10069 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10069,10069 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10069,10069 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10070,10070 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10070,10070 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10070,10070 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10070,10070 Apulum main road,Certain Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10084,10084 Castra of Zăvoi road,"Certain Secondary Road (Castra of Zăvoi road, dates to the)",https://pleiades.stoa.org/places/206897
https://itiner-e.org/route-segment/10085,10085 Ulpia Traiana Sarmizegetusa road,Certain Secondary Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/207527
https://itiner-e.org/route-segment/10117,10117 Salinae-Potaissa,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/207028
https://itiner-e.org/route-segment/10117,10117 Salinae-Potaissa,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/207028
https://itiner-e.org/route-segment/10160,10160 Romula-Slăveni-Tia Mara-Izlaz,Conjectured Septimius Severus (193-211 CE) Secondary Road,https://pleiades.stoa.org/places/216958
https://itiner-e.org/route-segment/10169,10169 Turnu Măgurele-Piteti,Conjectured Secondary Road (Passes through Turnu Măgurele-Putineiu-Băneasa I-Băneasa II- Roșiorii de Vede-Gresia-Ghioca- Urluieni I și II-Fâlfani- Izbășești-Săpata de Jos I și II-Albota-Pucăreni/Piteti),https://pleiades.stoa.org/places/216715
https://itiner-e.org/route-segment/10169,10169 Turnu Măgurele-Piteti,Conjectured Secondary Road (Passes through Turnu Măgurele-Putineiu-Băneasa I-Băneasa II- Roșiorii de Vede-Gresia-Ghioca- Urluieni I și II-Fâlfani- Izbășești-Săpata de Jos I și II-Albota-Pucăreni/Piteti),https://pleiades.stoa.org/places/216715
https://itiner-e.org/route-segment/10179,10179 Romula-south,Conjectured Secondary Road (Alternative route west of the river Jiu),https://pleiades.stoa.org/places/207336
https://itiner-e.org/route-segment/10180,10180 Romula-south,Conjectured Secondary Road (Alternative route west of the river Jiu),https://pleiades.stoa.org/places/207336
https://itiner-e.org/route-segment/10221,10221 Flămânda-Putineiu,Conjectured Secondary Road,https://pleiades.stoa.org/places/216812
https://itiner-e.org/route-segment/10233,10233 Simeria-Micia,Conjectured Secondary Road,https://pleiades.stoa.org/places/207286
https://itiner-e.org/route-segment/10237,10237 Simeria-Germisara,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/207129
https://itiner-e.org/route-segment/10243,10243 Germisara-Apulum,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10243,10243 Germisara-Apulum,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10243,10243 Germisara-Apulum,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10243,10243 Germisara-Apulum,Conjectured Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/206927
https://itiner-e.org/route-segment/10249,10249 Potaissa-Napoca,Conjectured Trajan (98-117 CE) Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/207028
https://itiner-e.org/route-segment/10249,10249 Potaissa-Napoca,Conjectured Trajan (98-117 CE) Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/207028
https://itiner-e.org/route-segment/10262,10262 Praetorium-Buridava,Conjectured Maximinus Thrax (235-238 CE) Main Road (Tabula Peutingeriana),https://pleiades.stoa.org/places/216776
