uri,title,summary,pleiades_uri
https://resource.manto.unh.edu/11308550,Acte,Eastern region of the Argolid,https://pleiades.stoa.org/places/573068
https://resource.manto.unh.edu/11289663,Agryle,Deme in Attica,https://pleiades.stoa.org/places/579848
https://resource.manto.unh.edu/11306085,Aidepsos,City on Euboia,https://pleiades.stoa.org/places/540601
https://resource.manto.unh.edu/11308145,Aigai,Unlocated city on Euboia whose existence may be the result of confusion with Mount Aigai there,https://pleiades.stoa.org/places/540603
https://resource.manto.unh.edu/10274694,Aigeira,City in Achaia,https://pleiades.stoa.org/places/570043
https://resource.manto.unh.edu/9718745,Aigion,City in Achaia,https://pleiades.stoa.org/places/570049
https://resource.manto.unh.edu/11307816,Aigys,City in Laconia,https://pleiades.stoa.org/places/570052
https://resource.manto.unh.edu/8253996,Ainos,City in Thrace,https://pleiades.stoa.org/places/501337
https://resource.manto.unh.edu/9910857,Aipeia,"Unlocatable city in Messenia, identified as Corone, Thouria or Methone",https://pleiades.stoa.org/places/573057
https://resource.manto.unh.edu/9882511,Aisyme,Unlocatable city in the Troad,https://pleiades.stoa.org/places/554180
https://resource.manto.unh.edu/8194536,Aitolia,Region in mainland Greece,https://pleiades.stoa.org/places/540591
https://resource.manto.unh.edu/9746290,Alalcomenai,City in Boiotia,https://pleiades.stoa.org/places/540619
https://resource.manto.unh.edu/10270802,Alexandria,City in the Troad,https://pleiades.stoa.org/places/550434
https://resource.manto.unh.edu/10214637,Alexiarous,Town in Boiotia,https://pleiades.stoa.org/places/543621
https://resource.manto.unh.edu/11307238,Alope,,https://pleiades.stoa.org/places/540621
https://resource.manto.unh.edu/9719933,Alope,City in Thessaly,https://pleiades.stoa.org/places/540621
https://resource.manto.unh.edu/9719932,Alos,City in Thessaly,https://pleiades.stoa.org/places/540804
https://resource.manto.unh.edu/10192414,Althepia,Region around Troizen,https://pleiades.stoa.org/places/573079
https://resource.manto.unh.edu/8195623,Alybe,"Unlocatable city, associated with the Halizones contingent",https://pleiades.stoa.org/places/554184
https://resource.manto.unh.edu/11306260,Alyzeia,City in Acarnania,https://pleiades.stoa.org/places/530793
https://resource.manto.unh.edu/10293688,Amathous,City in Cyprus,https://pleiades.stoa.org/places/707462
https://resource.manto.unh.edu/11305089,Ambracia,City in Epiros,https://pleiades.stoa.org/places/530794
https://resource.manto.unh.edu/10274697,Ambrossos,City near Mount Parnassos,https://pleiades.stoa.org/places/540626
https://resource.manto.unh.edu/11308264,Amphidolis,,https://pleiades.stoa.org/places/570073
https://resource.manto.unh.edu/11308435,Amphigeneia,City near Maciston,https://pleiades.stoa.org/places/573083
https://resource.manto.unh.edu/9719369,Amphigeneia,Unlocatable city in Messenia,https://pleiades.stoa.org/places/573083
https://resource.manto.unh.edu/10274739,Amphissa,City in Ozolian Locris,https://pleiades.stoa.org/places/540630
https://resource.manto.unh.edu/9718761,Amyclai,"City and cult site in Laconia, near Sparta",https://pleiades.stoa.org/places/570074
https://resource.manto.unh.edu/9718675,Amydon,City in Paionian territory,https://pleiades.stoa.org/places/494527
https://resource.manto.unh.edu/11293091,Amyros,Town in Thessaly,https://pleiades.stoa.org/places/540631
https://resource.manto.unh.edu/10152764,Anchoe,Boiotian town near Larymna,https://pleiades.stoa.org/places/540635
https://resource.manto.unh.edu/8195157,Antandros,City sacked by Achilles,https://pleiades.stoa.org/places/550433
https://resource.manto.unh.edu/9651961,Anthedon,Harbor in Boiotia,https://pleiades.stoa.org/places/540639
https://resource.manto.unh.edu/10273408,Antheia,City in Achaia,https://pleiades.stoa.org/places/573098
https://resource.manto.unh.edu/9910856,Antheia,"Unlocatable city in Messenia, identified as Thouria or Asine",https://pleiades.stoa.org/places/573096
https://resource.manto.unh.edu/11307395,Anticyra,,https://pleiades.stoa.org/places/540641
https://resource.manto.unh.edu/9718656,Apaisos,City in the Troad,https://pleiades.stoa.org/places/501544
https://resource.manto.unh.edu/10266919,Apheidantes,A deme of Tegea,https://pleiades.stoa.org/places/573099
https://resource.manto.unh.edu/9358744,Apollonia,City in Illyria,https://pleiades.stoa.org/places/481728
https://resource.manto.unh.edu/10906094,Aptera,City in Crete,https://pleiades.stoa.org/places/589704
https://resource.manto.unh.edu/8253953,Arabia,Region in south-eastern Aegean,https://pleiades.stoa.org/places/29475
https://resource.manto.unh.edu/9748291,Arabia Felix,Southern part of Arabian Peninsula,https://pleiades.stoa.org/places/746710
https://resource.manto.unh.edu/11309358,Arados,City on the Ruad Island,https://pleiades.stoa.org/places/668197
https://resource.manto.unh.edu/9720473,Argissa,City in Thessaly,https://pleiades.stoa.org/places/540659
https://resource.manto.unh.edu/8195176,Arisbe,City in the Troad,https://pleiades.stoa.org/places/501359
https://resource.manto.unh.edu/10276472,Aristonautai,City in Achaia,https://pleiades.stoa.org/places/570109
https://resource.manto.unh.edu/11300221,Armenia,Region south of the Black Sea,https://pleiades.stoa.org/places/874350
https://resource.manto.unh.edu/11292593,Arnai,City in Chalcidice,https://pleiades.stoa.org/places/501361
https://resource.manto.unh.edu/10276470,Arne,City in Thessaly,https://pleiades.stoa.org/places/540663
https://resource.manto.unh.edu/9688213,Ascania,City in Phrygia,https://pleiades.stoa.org/places/511165
https://resource.manto.unh.edu/10272426,Asia Minor,Region east of the Aegean Sea,https://pleiades.stoa.org/places/837
https://resource.manto.unh.edu/9718724,Asine,City in the Argolid,https://pleiades.stoa.org/places/570124
https://resource.manto.unh.edu/9619362,Assyria,Region,https://pleiades.stoa.org/places/29492
https://resource.manto.unh.edu/9720466,Asterion,City in the Argolid,https://pleiades.stoa.org/places/540674
https://resource.manto.unh.edu/11307701,Atrax,City on the Peneios river,https://pleiades.stoa.org/places/540682
https://resource.manto.unh.edu/9688224,Augeiai,Unlocatable city in Locris,https://pleiades.stoa.org/places/543648
https://resource.manto.unh.edu/9755844,Augeiai,Unlocatable city in Laconia,https://pleiades.stoa.org/places/543648
https://resource.manto.unh.edu/8194742,Aulis,City in Boiotia,https://pleiades.stoa.org/places/579889
https://resource.manto.unh.edu/11259212,Autocane,Location in Asia Minor,https://pleiades.stoa.org/places/550618
https://resource.manto.unh.edu/11309635,Bactria,Region in central Asia,https://pleiades.stoa.org/places/971712
https://resource.manto.unh.edu/10769600,Bathos,"Unlocated site in Arcadia, near Trapezous",https://pleiades.stoa.org/places/573139
https://resource.manto.unh.edu/9374905,Bebryces,Region in Bithynia,https://pleiades.stoa.org/places/511183
https://resource.manto.unh.edu/9688222,Bessa,Unlocatable city in Locris,https://pleiades.stoa.org/places/543653
https://resource.manto.unh.edu/9603724,Bisaltia,Region of Thrace associated with the Bisaltai,https://pleiades.stoa.org/places/491547
https://resource.manto.unh.edu/9602378,Bistones,Territory in Thrace,https://pleiades.stoa.org/places/501377
https://resource.manto.unh.edu/11303633,Boion,City in Doris,https://pleiades.stoa.org/places/540691
https://resource.manto.unh.edu/10274478,Boline,City in Achaia,https://pleiades.stoa.org/places/573148
https://resource.manto.unh.edu/11304796,Borion,Promontory in Libya,https://pleiades.stoa.org/places/363948
https://resource.manto.unh.edu/9719398,Bouprasion,Unlocatable city in Elis,https://pleiades.stoa.org/places/573157
https://resource.manto.unh.edu/11310629,Bousiris,City in Egypt,https://pleiades.stoa.org/places/727090
https://resource.manto.unh.edu/11310437,Boutos,Coastal city in Egypt,https://pleiades.stoa.org/places/727094
https://resource.manto.unh.edu/11309268,Brauron,A city later incorporated into Athens,https://pleiades.stoa.org/places/579879
https://resource.manto.unh.edu/11297184,Brenthe,"City in Arcadia, in ruins in Pausanias' time",https://pleiades.stoa.org/places/570274
https://resource.manto.unh.edu/8253949,Byblos,City in Phoinicia,https://pleiades.stoa.org/places/668216
https://resource.manto.unh.edu/11293663,Cainys,Promontory opposite Sicily,https://pleiades.stoa.org/places/452350
https://resource.manto.unh.edu/8254028,Calydon,City in Aitolia,https://pleiades.stoa.org/places/540699
https://resource.manto.unh.edu/9719449,Cameiros,City on Rhodes,https://pleiades.stoa.org/places/589836
https://resource.manto.unh.edu/8194525,Camicos,City in Sicily,https://pleiades.stoa.org/places/465929
https://resource.manto.unh.edu/11296880,Caous,Town in Arcadia,https://pleiades.stoa.org/places/573271
https://resource.manto.unh.edu/9051539,Cape Caphereus,Promontory on Euboia,https://pleiades.stoa.org/places/540852
https://resource.manto.unh.edu/8253983,Cape Malea,Promontory in Laconia,https://pleiades.stoa.org/places/570455
https://resource.manto.unh.edu/11306987,Cape Parthenion,Promontory containing sanctuary to Parthenos,https://pleiades.stoa.org/places/226714
https://resource.manto.unh.edu/11308275,Cape Pheia,Promontory in Elis,https://pleiades.stoa.org/places/570592
https://resource.manto.unh.edu/11307444,Cape Pyrrha,Promontory in the Pagasitic Gulf,https://pleiades.stoa.org/places/543857
https://resource.manto.unh.edu/9881175,Carnasion,City in Messenia,https://pleiades.stoa.org/places/570331
https://resource.manto.unh.edu/11259219,Carpathos,,https://pleiades.stoa.org/places/589841
https://resource.manto.unh.edu/9718704,Carystos,City on Euboia,https://pleiades.stoa.org/places/570336
https://resource.manto.unh.edu/10267365,Catreus,City on Crete,https://pleiades.stoa.org/places/589856
https://resource.manto.unh.edu/11292941,Caucon,Region and ethnic group in northern Elis,https://pleiades.stoa.org/places/570342
https://resource.manto.unh.edu/10274655,Celainai,City in Phrygia,https://pleiades.stoa.org/places/638751
https://resource.manto.unh.edu/10158675,Celeai,Near Phliasia,https://pleiades.stoa.org/places/573280
https://resource.manto.unh.edu/9619315,Celenderis,City in Cilicia,https://pleiades.stoa.org/places/648596
https://resource.manto.unh.edu/8254035,Cenaion,City in Euboia,https://pleiades.stoa.org/places/540858
https://resource.manto.unh.edu/10153143,Cenchriai,Harbor of Corinth,https://pleiades.stoa.org/places/570347
https://resource.manto.unh.edu/10149865,Cestrine,City in Epeiros to north of Thyamis River,https://pleiades.stoa.org/places/530942
https://resource.manto.unh.edu/11308418,Chaa,City in coastal southern Elis no longer surviving in Strabo's time,https://pleiades.stoa.org/places/570170
https://resource.manto.unh.edu/10276460,Chaironeia,City in Boiotia,https://pleiades.stoa.org/places/540701
https://resource.manto.unh.edu/10771788,Chalcis,City in Elis,https://pleiades.stoa.org/places/573160
https://resource.manto.unh.edu/9718698,Chalcis,City on Euboia,https://pleiades.stoa.org/places/540703
https://resource.manto.unh.edu/11307417,Chaonia,"A district of Epeiros inhabited by the Chaonians, a Greek tribe.",https://pleiades.stoa.org/places/481787
https://resource.manto.unh.edu/10274643,Charadra,Town in Phocis,https://pleiades.stoa.org/places/530829
https://resource.manto.unh.edu/11307186,Charadra,"Unlocatable city in Messenia or Laconia, probably near Leuctra",https://pleiades.stoa.org/places/573162
https://resource.manto.unh.edu/11305174,Chersonesos,City in Crimea,https://pleiades.stoa.org/places/226564
https://resource.manto.unh.edu/8254467,Chersonesos,Peninsula near Troy,https://pleiades.stoa.org/places/501386
https://resource.manto.unh.edu/9717117,Chryse,City of Chryses,https://pleiades.stoa.org/places/550501
https://resource.manto.unh.edu/8195617,Cicones,"Territory of the Cicones, in coastal Thrace",https://pleiades.stoa.org/places/501468
https://resource.manto.unh.edu/11309387,Cicynethos,Island off the coast of Thessaly,https://pleiades.stoa.org/places/540713
https://resource.manto.unh.edu/9717118,Cilla,City in Troad,https://pleiades.stoa.org/places/554254
https://resource.manto.unh.edu/8372321,Cimmerian Bosporos,Strait between the Black Sea and the Sea of Azov,https://pleiades.stoa.org/places/854675
https://resource.manto.unh.edu/9374890,Cios,Harbor on the Propontis,https://pleiades.stoa.org/places/511385
