uri,title,summary,pleiades_uri
https://resource.manto.unh.edu/11334891,Alalcomenai (Ithaca),city on Ithaca,https://pleiades.stoa.org/places/530791
https://resource.manto.unh.edu/11334151,Amiternon (Italy),Sabine city,https://pleiades.stoa.org/places/413013
https://resource.manto.unh.edu/11308435,Amphigeneia (Elis),city near Maciston,https://pleiades.stoa.org/places/573083
https://resource.manto.unh.edu/10274739,Amphissa (Ozolian Locris),city in Ozolian Locris,https://pleiades.stoa.org/places/540630
https://resource.manto.unh.edu/9718761,Amyclai (Laconia),"city and cult site in Laconia, near Sparta",https://pleiades.stoa.org/places/570074
https://resource.manto.unh.edu/11329879,Amycos (Pontos),coastal city near Heracleia Pontica,https://pleiades.stoa.org/places/520957
https://resource.manto.unh.edu/9718675,Amydon (Paionia),city in Paionian territory,https://pleiades.stoa.org/places/494527
https://resource.manto.unh.edu/11293091,Amyros (Thessaly),town in Thessaly,https://pleiades.stoa.org/places/540631
https://resource.manto.unh.edu/11332905,Anchialos (Pontos),city in Pontos,https://pleiades.stoa.org/places/216702
https://resource.manto.unh.edu/10152764,Anchoe (Boiotia),Boiotian town near Larymna,https://pleiades.stoa.org/places/540635
https://resource.manto.unh.edu/11300667,Antaios (Egypt),city and nome in Egypt,https://pleiades.stoa.org/places/756515
https://resource.manto.unh.edu/8195157,Antandros (Troad),city sacked by Achilles,https://pleiades.stoa.org/places/550433
https://resource.manto.unh.edu/9651961,Anthedon (Boiotia),harbor in Boiotia,https://pleiades.stoa.org/places/540639
https://resource.manto.unh.edu/10273408,Antheia (Achaia),city in Achaia,https://pleiades.stoa.org/places/573098
https://resource.manto.unh.edu/9910856,Antheia (Messenia),"unlocatable city in Messenia, identified as Thouria or Asine",https://pleiades.stoa.org/places/573096
https://resource.manto.unh.edu/11324747,Anthemous (Chalcidice),city in Chalcidice,https://pleiades.stoa.org/places/491521
https://resource.manto.unh.edu/9718656,Apaisos (Troad),city in the Troad,https://pleiades.stoa.org/places/501544
https://resource.manto.unh.edu/11297477,Aphaca (Syria),city in Syria,https://pleiades.stoa.org/places/678021
https://resource.manto.unh.edu/10266919,Apheidantes (Arcadia),a deme of Tegea,https://pleiades.stoa.org/places/573099
https://resource.manto.unh.edu/11329240,Apina (Apulia),unlocatable city destroyed by Diomedes,https://pleiades.stoa.org/places/446218
https://resource.manto.unh.edu/11332904,Apollonia ad Rhyndacum (Mysia),city in Mysia,https://pleiades.stoa.org/places/511151
https://resource.manto.unh.edu/9358744,Apollonia (Illyria),city in Illyria,https://pleiades.stoa.org/places/481728
https://resource.manto.unh.edu/10906094,Aptera (Crete),city in Crete,https://pleiades.stoa.org/places/589704
https://resource.manto.unh.edu/11311482,Apulia (Italy),region in Italy,https://pleiades.stoa.org/places/442469
https://resource.manto.unh.edu/8253953,Arabia,region in south-eastern Aegean,https://pleiades.stoa.org/places/29475
https://resource.manto.unh.edu/11328822,Aracha (island),island in the Persian Gulf,https://pleiades.stoa.org/places/912810
https://resource.manto.unh.edu/11328807,Arachosia (C. Asia),"city founded by Alexander, now Kandahar",https://pleiades.stoa.org/places/59669
https://resource.manto.unh.edu/11309358,Arados (Phoinicia),city on the Ruad Island,https://pleiades.stoa.org/places/668197
https://resource.manto.unh.edu/9720473,Argissa (Thessaly),city in Thessaly,https://pleiades.stoa.org/places/540659
https://resource.manto.unh.edu/11313279,Argyria (Troad),city in the Troad near Old Scepsis and Polichna,https://pleiades.stoa.org/places/550451
https://resource.manto.unh.edu/10276472,Aristonautai (Achaia),city in Achaia,https://pleiades.stoa.org/places/570109
https://resource.manto.unh.edu/11300221,Armenia,region south of the Black Sea,https://pleiades.stoa.org/places/874350
https://resource.manto.unh.edu/11314986,Armenion (Thessaly),city in Thessaly,https://pleiades.stoa.org/places/540662
https://resource.manto.unh.edu/11311094,Artemision Promontory (Lycia),promontory with sanctuary of Artemis,https://pleiades.stoa.org/places/638766
https://resource.manto.unh.edu/11320874,Asbystai (N. Africa),,https://pleiades.stoa.org/places/373738
https://resource.manto.unh.edu/9688213,Ascania (Phrygia),city in Phrygia,https://pleiades.stoa.org/places/511165
https://resource.manto.unh.edu/10272426,Asia Minor,region east of the Aegean Sea,https://pleiades.stoa.org/places/837
https://resource.manto.unh.edu/9718724,Asine (Argolid),city in the Argolid,https://pleiades.stoa.org/places/570124
https://resource.manto.unh.edu/11313348,Assos (Troad),city in the Troad,https://pleiades.stoa.org/places/550463
https://resource.manto.unh.edu/9619362,Assyria,region,https://pleiades.stoa.org/places/29492
https://resource.manto.unh.edu/11328867,Astypalaia (Aegean),island in Aegean,https://pleiades.stoa.org/places/599536
https://resource.manto.unh.edu/11307701,Atrax (Thessaly),city on the Peneios river,https://pleiades.stoa.org/places/540682
https://resource.manto.unh.edu/9755844,Augeiai (Laconia),unlocatable city in Laconia,https://pleiades.stoa.org/places/543648
https://resource.manto.unh.edu/9688224,Augeiai (Locris),unlocatable city in Locris,https://pleiades.stoa.org/places/543648
https://resource.manto.unh.edu/8194742,Aulis (Boiotia),city in Boiotia,https://pleiades.stoa.org/places/579889
https://resource.manto.unh.edu/11259212,Autocane (Ionia),location in Asia Minor,https://pleiades.stoa.org/places/550618
https://resource.manto.unh.edu/11327072,Babylon (Egypt),city in Egypt,https://pleiades.stoa.org/places/727082
https://resource.manto.unh.edu/11326394,Bactra (Bactria),city in Bactria,https://pleiades.stoa.org/places/961886
https://resource.manto.unh.edu/11309635,Bactria,region in central Asia,https://pleiades.stoa.org/places/971712
https://resource.manto.unh.edu/11313371,Bargylia (Caria),city in Caria,https://pleiades.stoa.org/places/599550
https://resource.manto.unh.edu/10769600,Bathos (Arcadia),"unlocated site in Arcadia, near Trapezous",https://pleiades.stoa.org/places/573139
https://resource.manto.unh.edu/11334146,Batia (Italy),ancient city of the Aborigines,https://pleiades.stoa.org/places/416779
https://resource.manto.unh.edu/11310908,Bauli (Campania),city in Campania,https://pleiades.stoa.org/places/432720
https://resource.manto.unh.edu/11332687,Bear Island (Pontos),island or headland in the Black Sea,https://pleiades.stoa.org/places/511155
https://resource.manto.unh.edu/11328970,Berenice (N. Africa),city on the tip of Syrtis,https://pleiades.stoa.org/places/373757
https://resource.manto.unh.edu/9688222,Bessa (Locris),unlocatable city in Locris,https://pleiades.stoa.org/places/543653
https://resource.manto.unh.edu/9603724,Bisaltia (Thrace),region of Thrace associated with the Bisaltai,https://pleiades.stoa.org/places/491547
https://resource.manto.unh.edu/11303633,Boion (Doris),city in Doris,https://pleiades.stoa.org/places/540691
https://resource.manto.unh.edu/11320480,Bordeaux (Gaul),city now in modern France,https://pleiades.stoa.org/places/138248
https://resource.manto.unh.edu/11304796,Borion (Libya),promontory in Libya,https://pleiades.stoa.org/places/363948
https://resource.manto.unh.edu/11320293,Boscotrecase (Campania),site of Roman villas destroyed by eruptions of Vesuvius,https://pleiades.stoa.org/places/432724
https://resource.manto.unh.edu/11300708,Boubastis (Egypt),city in Egypt,https://pleiades.stoa.org/places/727088
https://resource.manto.unh.edu/9719398,Bouprasion (Elis),unlocatable city in Elis,https://pleiades.stoa.org/places/573157
https://resource.manto.unh.edu/11310629,Bousiris (Egypt),city in Egypt,https://pleiades.stoa.org/places/727090
