uri,title,summary,pleiades_uri
http://nomisma.org/id/acharaca,Acharaca,"Coins have been tentatively attributed to the mint Acharaca in Lydia, but the attribution seems unlikely. Seen HN, 1st ed., p. 547.",https://pleiades.stoa.org/places/599472
http://nomisma.org/id/achilleion,Achilleion,"The mint formerly attributed to the ancient site of Achilleion in Troas. It now seems unlikely that coinage was produced there. See Ellis-Evans, REA 119 (2017), pp. 25-47.",https://pleiades.stoa.org/places/550401
http://nomisma.org/id/achulla,Achulla,The mint at the ancient site of Achulla in Byzacene.,https://pleiades.stoa.org/places/324653
http://nomisma.org/id/acinippo,Acinipo,The mint at the ancient site of Acinippo in Hispania.,https://pleiades.stoa.org/places/255950
http://nomisma.org/id/acmoneia,Acmoneia,The mint at the ancient site of Acmoneia in Phrygia.,https://pleiades.stoa.org/places/609293
http://nomisma.org/id/acrasus,Acrasus,The mint at the ancient site of Acrasus in Lydia.,https://pleiades.stoa.org/places/554181
http://nomisma.org/id/adada,Adada,The mint at the ancient site of Adada in Pisidia.,https://pleiades.stoa.org/places/638733
http://nomisma.org/id/adana,Adana,The mint at the ancient site of Adana in Cilicia.,https://pleiades.stoa.org/places/648548
http://nomisma.org/id/adraa,Adraa,The mint at the ancient site of Adraa in Arabia.,https://pleiades.stoa.org/places/678002
http://nomisma.org/id/adranum,Adranum,The mint at the ancient site of Adranum in Sicily.,https://pleiades.stoa.org/places/462074
http://nomisma.org/id/aegae_macedonia,"Aegae, Macedon",The mint at the ancient site of Aegae in Macedon,https://pleiades.stoa.org/places/491512
http://nomisma.org/id/aegeira,Aegeira,The mint at the ancient site of Aegeira in Achaea.,https://pleiades.stoa.org/places/570043
http://nomisma.org/id/aegiale,Aegiale,"The mint at the ancient site of Aegiale on Amorgos, Cyclades.",https://pleiades.stoa.org/places/599476
http://nomisma.org/id/aegina_aegina,Aegina,The mint at the ancient site of Aegina on the island of Aegina.,https://pleiades.stoa.org/places/579853
http://nomisma.org/id/aegirus,Aegirus,The mint at the ancient site of Aegirus in Lesbos,https://pleiades.stoa.org/places/554178
http://nomisma.org/id/aegium,Aegium,The mint at the ancient site of Aegium in Achaea.,https://pleiades.stoa.org/places/570049
http://nomisma.org/id/aegosthena,Aegosthena,The mint at the ancient site of Aegosthena in Megaris.,https://pleiades.stoa.org/places/570051
http://nomisma.org/id/aelia_capitolina,Aelia Capitolina,The mint at the ancient site of Aelia Capitolina in Judea.,https://pleiades.stoa.org/places/687928
http://nomisma.org/id/aeneia,Aeneia,The mint at the ancient site of Aeneia in Macedonia.,https://pleiades.stoa.org/places/491513
http://nomisma.org/id/aenianes,Aenianes,"The mint of the Aenianes, perhaps at the ancient site of Hypata in Thessaly.",https://pleiades.stoa.org/places/540611
http://nomisma.org/id/aenus,Aenus,The mint at the ancient site of Aenus in Thrace.,https://pleiades.stoa.org/places/501337
http://nomisma.org/id/aerae,Aerae,The mint at the ancient site of Aerae in Ionia,https://pleiades.stoa.org/places/550419
http://nomisma.org/id/aesernia,Aesernia,The mint at the ancient site of Aesernia in Samnium.,https://pleiades.stoa.org/places/432652
http://nomisma.org/id/aezanis,Aezanis,The mint at the ancient site of Aezanis in Phrygia.,https://pleiades.stoa.org/places/609292
http://nomisma.org/id/agathopolis,Agathopolis,The mint at the ancient site of Agathopolis in Thrace.,https://pleiades.stoa.org/places/216721
http://nomisma.org/id/alabanda,Alabanda,The mint at the ancient site of Alabanda in Caria.,https://pleiades.stoa.org/places/599479
http://nomisma.org/id/alaesa,Alaesa,The mint at the ancient site of Alaesa in Sicily.,https://pleiades.stoa.org/places/462225
http://nomisma.org/id/alassa,Alassa,The mint at the ancient site of Alassa in Crete,https://pleiades.stoa.org/places/589897
http://nomisma.org/id/alaun,Alaun,The mint at the ancient site of Alaun in Hispania.,https://pleiades.stoa.org/places/252929
http://nomisma.org/id/alba,Alba,The mint at the ancient site of Alba in Hispania,https://pleiades.stoa.org/places/265763
http://nomisma.org/id/albatha,Albatha,The mint at the ancient site of Albatha in Hispania.,https://pleiades.stoa.org/places/265763
http://nomisma.org/id/alea,Alea,The mint at the ancient site of Alea in Arcadia.,https://pleiades.stoa.org/places/570062
http://nomisma.org/id/alexandreia_egypt,Alexandria,The mint at the ancient site of Alexandreia in Egypt.,https://pleiades.stoa.org/places/727070
http://nomisma.org/id/alexandreia_arachosia,Alexandria in Arachosia,The mint at the ancient site of Alexandria in Arachosia (mod. Kandahar),https://pleiades.stoa.org/places/59669
http://nomisma.org/id/alexandria_on_the_caucasus,Alexandria on the Caucasus,The mint at the ancient site of Alexandria on the Caucasus in Bactria.,https://pleiades.stoa.org/places/59668
http://nomisma.org/id/alia,Alia,The mint at the ancient site of Alia in Phrygia.,https://pleiades.stoa.org/places/609298
http://nomisma.org/id/alipota,Alipota,The mint at the ancient site of Alipota in Byzacene,https://pleiades.stoa.org/places/324663
http://nomisma.org/id/allaria,Allaria,The mint at the ancient site of Allaria in Crete.,https://pleiades.stoa.org/places/589679
http://nomisma.org/id/alyzia,Alyz(e)ia,The mint at the ancient site of Alyz(e)ia in Acarnania.,https://pleiades.stoa.org/places/530793
http://nomisma.org/id/amantia,Amantia,The mint at the ancient site of Amantia in Illyricum.,https://pleiades.stoa.org/places/481715
http://nomisma.org/id/amathus,Amathus,The mint at the ancient site of Amathus on Cyprus.,https://pleiades.stoa.org/places/707462
http://nomisma.org/id/ambianum,Ambianum,The mint at the ancient site of Ambianum in Gaul.,https://pleiades.stoa.org/places/109321
http://nomisma.org/id/amblada,Amblada,The mint at the ancient site of Amblada in Pisidia.,https://pleiades.stoa.org/places/638741
http://nomisma.org/id/ambracia,Ambracia,The mint at the ancient site of Ambracia in Epirus.,https://pleiades.stoa.org/places/530794
http://nomisma.org/id/ameselon,Ameselon,The mint at the ancient site of Ameselon in Sicily.,https://pleiades.stoa.org/places/465851
http://nomisma.org/id/amisus,Amisus,The mint at the ancient site of Amisus in Pontus.,https://pleiades.stoa.org/places/857024
http://nomisma.org/id/amorgos_amorgos,Amorgos,The mint of Amorgos on the ancient island of Amorgos in the Cyclades.,https://pleiades.stoa.org/places/599484
http://nomisma.org/id/amorium,Amorium,The mint at the ancient site of Amorium in Phrygia.,https://pleiades.stoa.org/places/609302
http://nomisma.org/id/amphaxitis,Amphaxitis,"The mint, probably at Thessalonike, in the ancient region of Amphaxitis in Macedonia.",https://pleiades.stoa.org/places/491520
http://nomisma.org/id/amphissa,Amphissa,The mint at the ancient site of Amphissa in Locris.,https://pleiades.stoa.org/places/540630
http://nomisma.org/id/anaphe,Anaphe,The mint at the ancient site of Anaphe on the island of Anaphe in the Cyclades.,https://pleiades.stoa.org/places/599491
http://nomisma.org/id/anazarbus,Anazarbus,The mint at the ancient site of Anazarbus in Cilicia.,https://pleiades.stoa.org/places/658378
http://nomisma.org/id/anchiale,Anchiale,The mint at the ancient site of Anchiale (?) in Cilicia,https://pleiades.stoa.org/places/648555
http://nomisma.org/id/ancona,Ancona,The mint at the ancient site of Ancona in Picenum.,https://pleiades.stoa.org/places/413014
http://nomisma.org/id/andeda,Andeda,The mint at the ancient site of Andeda in Pisidia.,https://pleiades.stoa.org/places/638744
http://nomisma.org/id/andros,Andros,The mint at the ancient site of Andros on the island of Andros in the Cyclades.,https://pleiades.stoa.org/places/589692
http://nomisma.org/id/aninetus,Aninetus,The mint at the ancient site of Aninetus in Lydia.,https://pleiades.stoa.org/places/599493
http://nomisma.org/id/anisa,Anisa,The mint at the ancient site of Anisa in Cappadocia,https://pleiades.stoa.org/places/628923
http://nomisma.org/id/anopolis,Anopolis,The mint at the ancient site of Anopolis in Crete.,https://pleiades.stoa.org/places/589694
http://nomisma.org/id/anthedon,Anthedon,The mint at the ancient site of Anthedon in Syria,https://pleiades.stoa.org/places/687826
http://nomisma.org/id/anthemusia,Anthemusia,The mint at the ancient site of Anthemusia in Mesopotamia.,https://pleiades.stoa.org/places/658405
http://nomisma.org/id/anticyra,Anticyra,The mint at the ancient site of Anticyra in Phocis.,https://pleiades.stoa.org/places/540642
http://nomisma.org/id/antigoneia_mantineia,Antigoneia,The mint at the ancient site of Antigoneia (Mantineia) in Arcadia.,https://pleiades.stoa.org/places/570459
http://nomisma.org/id/antigoneia_syria,Antigoneia,The mint at the ancient site of Antigonieia in Syria.,https://pleiades.stoa.org/places/658380
http://nomisma.org/id/antiocheia_ad_cragum,Antiocheia ad Cragum,The mint at the ancient site of Antiocheia ad Cragum in Cilicia.,https://pleiades.stoa.org/places/648560
http://nomisma.org/id/antiocheia_ad_cydnum,Antiocheia ad Cydnum,The mint at the ancient site of Antiocheia ad Cydnum in Cilicia,https://pleiades.stoa.org/places/648789
http://nomisma.org/id/antiocheia_ad_maeandrum,Antiocheia ad Maeandrum,The mint at the ancient site of Antiocheia ad Maeandrum in Caria.,https://pleiades.stoa.org/places/638748
http://nomisma.org/id/antiocheia_ad_sarum,Antiocheia ad Sarum,"The mint at the ancient site of Antiocheia ad Sarum, the Seleucid refoundation of Adana in Cilicia.",https://pleiades.stoa.org/places/648548
http://nomisma.org/id/antiocheia_alabanda,Antiocheia (Alabanda),"The mint at the city of Antioch of the Chrysaorians, the Seleucid refoundation of Alabanda. The mint was active between c. 203 and 190 BC.",https://pleiades.stoa.org/places/599479
http://nomisma.org/id/antiocheia_cebren,Antiocheia (Cebren),The mint at the ancient site of Antiocheia (Cebren) in Troas.,https://pleiades.stoa.org/places/550633
http://nomisma.org/id/antiocheia_pisidia,Antioch of Pisidia,The mint at the ancient site of Antioch in Pisidia.,https://pleiades.stoa.org/places/609307
http://nomisma.org/id/antipatris,Antipatris,The mint at the ancient site of Antipatris in Samaria.,https://pleiades.stoa.org/places/687996
http://nomisma.org/id/antipolis,Antipolis,"The mint at the ancient site of Antipolis (Antibes, France)",https://pleiades.stoa.org/places/157812
http://nomisma.org/id/antissa,Antissa,The mint at the ancient site of Antissa on Lesbos.,https://pleiades.stoa.org/places/550435
http://nomisma.org/id/apamea_phrygiae,Apamea in Phrygia,The mint at the ancient site of Apamea in Phrygia.,https://pleiades.stoa.org/places/638751
http://nomisma.org/id/apameia_syria,Apameia in Syria,The mint at the ancient site of Apameia in Syria.,https://pleiades.stoa.org/places/668335
http://nomisma.org/id/aperlae,Aperlae,The mint at the ancient site of Aperlae in Lycia.,https://pleiades.stoa.org/places/638752
http://nomisma.org/id/aphrodisias_caria,"Aphrodisias, Caria",The mint at the ancient site of Aphrodisias in Caria.,https://pleiades.stoa.org/places/648565
http://nomisma.org/id/aphrodisias_cilicia,"Aphrodisias, Cilicia",The mint at the ancient site of Aphrodisias in Cilicia.,https://pleiades.stoa.org/places/648565
http://nomisma.org/id/apollonia_ad_rhyndacum,Apollonia ad Rhyndacum,The mint at the ancient site of Apollonia ad Rhyndacum in Mysia.,https://pleiades.stoa.org/places/511151
http://nomisma.org/id/apollonia_crete,"Apollonia, Crete",The mint at the ancient site of Apollonia in Crete.,https://pleiades.stoa.org/places/589696
http://nomisma.org/id/apollonia_lycia,Apollonia in Lycia,The mint at the ancient site of Apollonia in Lycia,https://pleiades.stoa.org/places/638755
http://nomisma.org/id/apollonia_macedon,"Apollonia, Macedon",The mint of the ancient site of Apollonia in Macedon. The attribution of coins to this city is doubtful so that there may be no mint there.,https://pleiades.stoa.org/places/491526
http://nomisma.org/id/apollonia_mordiaeum,Apollonia Mordiaeum,The mint at the ancient site of Apollonia Mordiaeum in Pisidia.,https://pleiades.stoa.org/places/638758
http://nomisma.org/id/apollonia_ad_maeandrum,Apollonia on the Maeander,"The mint at the site of Apollonia on the Maeander in Lydia, renamed Tripolis in the Augustan period.",https://pleiades.stoa.org/places/639152
http://nomisma.org/id/apollonia_pontica,Apollonia Pontica,The mint at the ancient site of Apollonia Pontica in Thrace.,https://pleiades.stoa.org/places/216706
http://nomisma.org/id/apollonia_salbace,Apollonia Salbace,The mint at the ancient site of Apollonia Salbace in Caria.,https://pleiades.stoa.org/places/638757
http://nomisma.org/id/apollonia_sicily,"Apollonia, Sicily",The mint at the ancient site of Apollonia in Sicily,https://pleiades.stoa.org/places/462097
http://nomisma.org/id/apollonieron,Apollonieron,The mint at the ancient site of Apollonieron in Lydia,https://pleiades.stoa.org/places/642510
http://nomisma.org/id/apollonos-hieron,Apollonos-hieron,The mint at the ancient site of Apollonos-hieron in Lydia,https://pleiades.stoa.org/places/614605
http://nomisma.org/id/appia,Appia,The mint at the ancient site of Appia in Phrygia.,https://pleiades.stoa.org/places/609314
http://nomisma.org/id/aptera,Aptera,The mint at the ancient site of Aptera in Crete.,https://pleiades.stoa.org/places/589704
http://nomisma.org/id/aquinum,Aquinum,The mint at the ancient site of Aquinum in Latium.,https://pleiades.stoa.org/places/432695
http://nomisma.org/id/aradus,Aradus,The mint at the ancient site of Aradus in Phoenicia.,https://pleiades.stoa.org/places/668197
http://nomisma.org/id/araxa,Araxa (?),The mint at the ancient site of Araxa (?) in Lycia,https://pleiades.stoa.org/places/638760
http://nomisma.org/id/arcadia_crete,Arcadia,The mint at the ancient site of Arcadia on Crete.,https://pleiades.stoa.org/places/589710
http://nomisma.org/id/arcesine,Arcesine,"The mint at the ancient site of Arcesine on Amorgos, Cyclades.",https://pleiades.stoa.org/places/599517
http://nomisma.org/id/arekorata,Arekorata,The mint at the ancient site of Arekorata in Hispania Citerior.,https://pleiades.stoa.org/places/252930
http://nomisma.org/id/arelate,Arelate,The mint at the ancient site of Arelate in Gaul.,https://pleiades.stoa.org/places/148217
http://nomisma.org/id/arelate_com,Arelate comitatensian mint,The comitatensian mint at the ancient city of Arelate in Gaul.,https://pleiades.stoa.org/places/148217
http://nomisma.org/id/arethusa,Arethusa,The mint at the ancient site of Arethusa in Syria,https://pleiades.stoa.org/places/668199
http://nomisma.org/id/argilos,Argilos,Mint at the ancient site of Argilos in Macedonia,https://pleiades.stoa.org/places/501358
http://nomisma.org/id/argos_argolis,Argos,The mint at the ancient site of Argos in the Argolid.,https://pleiades.stoa.org/places/570106
http://nomisma.org/id/argos_orestikon,Argos Orestikon,The mint at the ancient site of Argos Orestikon in Epirus.,https://pleiades.stoa.org/places/229530
http://nomisma.org/id/ariassus,Ariassus,The mint at the ancient site of Ariassus in Pisidia.,https://pleiades.stoa.org/places/638761
http://nomisma.org/id/arkathiokerta,Arkathiokerta,"Mint at the ancient site of Arkathiokerta (Armenian: Կարկաթիոկերտ, Karkatiokert or Արկաթիակերտ, Arkatiakert; Ancient Greek: Καρκαθιόκερτα, Karkathiokerta), a city in Armenian Sophene near the Tigris, identified with the modern town of Eğil.",https://pleiades.stoa.org/places/874348
http://nomisma.org/id/arketurki,Arketurki,The mint at the ancient site of Arketurki in Hispania.,https://pleiades.stoa.org/places/252932
http://nomisma.org/id/arneae,Arneae,The mint at the ancient site of Arneae in Lycia,https://pleiades.stoa.org/places/638763
http://nomisma.org/id/arpi,Arpi,The mint at the ancient site of Arpi in Apulia.,https://pleiades.stoa.org/places/442476
http://nomisma.org/id/arsa,Arsa,The mint at the ancient site of Arsa in Hispania,https://pleiades.stoa.org/places/260494
http://nomisma.org/id/arsakoson,Arsakoson,The mint at the ancient site of Arsakoson in Hispania.,https://pleiades.stoa.org/places/252933
http://nomisma.org/id/arse,Arse,The mint at the ancient site of Arse in Hispania.,https://pleiades.stoa.org/places/266021
http://nomisma.org/id/arsinoe_crete,"Arsinoe, Crete",The mint at the ancient site of Arsinoe in Crete.,https://pleiades.stoa.org/places/590028
http://nomisma.org/id/arsinoe_argolis,Arsinoe (Methana),The mint at the ancient site of Methana-Arsinoe in Argolis.,https://pleiades.stoa.org/places/570482
http://nomisma.org/id/artacoana,Artacoana,"The mint at the ancient site of Artacoana in Aria. It may be the same settlement as Alexandria in Aria, founded by Alexander the Great in 330 BCE.",https://pleiades.stoa.org/places/30211
http://nomisma.org/id/arycanda,Arycanda,The mint at the ancient site of Arycanda in Lycia.,https://pleiades.stoa.org/places/638769
http://nomisma.org/id/ascalon,Ascalon,The mint at the ancient site of Ascalon in Judaea.,https://pleiades.stoa.org/places/687839
http://nomisma.org/id/asea,Asea,The mint at the ancient site of Asea in Arcadia.,https://pleiades.stoa.org/places/570122
http://nomisma.org/id/asine,Asine,The mint at the ancient site of Asine in Messenia.,https://pleiades.stoa.org/places/570125
http://nomisma.org/id/assorus,Assorus,The mint at the ancient site of Assorus in Sicily.,https://pleiades.stoa.org/places/462106
http://nomisma.org/id/assus,Assus,The mint at the ancient site of Assus in Troas.,https://pleiades.stoa.org/places/550463
http://nomisma.org/id/astacus_acarnania,Astacus (Acarnania),The mint at the ancient site of Astacus in Acarnania.,https://pleiades.stoa.org/places/530815
http://nomisma.org/id/astacus_bithynia,Astacus (Bithynia),The mint at the ancient site of Astacus in Bithynia.,https://pleiades.stoa.org/places/511169
http://nomisma.org/id/astibus,Astibus,The mint at the ancient site of Astibus in Macedonia.,https://pleiades.stoa.org/places/491530
http://nomisma.org/id/astypalaea,Astypalaea,"The mint at the ancient site of Astypalaea, island off the coast of Caria.",https://pleiades.stoa.org/places/599535
http://nomisma.org/id/astyra_mysia,Astyra,The mint at the ancient site of Astyra in Mysia.,https://pleiades.stoa.org/places/550467
http://nomisma.org/id/atarneus,Atarneus,The mint at the ancient site of Atarneus in Mysia.,https://pleiades.stoa.org/places/550469
http://nomisma.org/id/athamanes,Athamanes,The mint of the Athamanes at an uncertain location in Athamania.,https://pleiades.stoa.org/places/540676
http://nomisma.org/id/atiliana,Atiliana,The mint at the ancient site of Atiliana in Hispania.,https://pleiades.stoa.org/places/246200
http://nomisma.org/id/atrax,Atrax,The mint at the ancient site of Atrax in Thessaly.,https://pleiades.stoa.org/places/540682
http://nomisma.org/id/attaea,Attaea,The mint at the ancient site of Attaea in Mysia.,https://pleiades.stoa.org/places/550474
http://nomisma.org/id/attaleia,Attaleia,The mint at the ancient site of Attaleia in Pamphylia.,https://pleiades.stoa.org/places/638778
http://nomisma.org/id/attaleia_lydia,Attaleia,The mint at the ancient site of Attaleia in Lydia.,https://pleiades.stoa.org/places/550472
http://nomisma.org/id/attuda,Attuda,The mint at the ancient site of Attuda in Caria.,https://pleiades.stoa.org/places/638779
http://nomisma.org/id/augusta,Augusta,The mint at the ancient site of Augusta in Cilicia.,https://pleiades.stoa.org/places/648577
http://nomisma.org/id/aureliopolis,Aureliopolis,The mint at the ancient site of Aureliopolis in Lydia,https://pleiades.stoa.org/places/550936
http://nomisma.org/id/ausesken,Ausesken,Mint at the ancient site of Ausesken in Hispania,https://pleiades.stoa.org/places/252935
http://nomisma.org/id/autocane,Autocane,The mint at the unlocated ancient site of Autocane in Aeolis.,https://pleiades.stoa.org/places/550618
http://nomisma.org/id/axum,Axum,The mint at the ancient site of Axum in the Kingdom of Axum (Ethiopia),https://pleiades.stoa.org/places/39303
http://nomisma.org/id/babba,Babba,The mint at the ancient site of Colonia Campestris Julia Babba in Mauretania.,https://pleiades.stoa.org/places/278602
http://nomisma.org/id/bagis,Bagis,The mint at the ancient site of Bagis in Lydia.,https://pleiades.stoa.org/places/609336
http://nomisma.org/id/baitolo,Baitolo,The mint at the ancient site of Baitolo in Hispania.,https://pleiades.stoa.org/places/246220
http://nomisma.org/id/balbura,Balbura,The mint at the ancient site of Balbura in Lycia.,https://pleiades.stoa.org/places/638789
http://nomisma.org/id/baletium,Baletium,The mint at the ancient site of (B)aletium in Calabria,https://pleiades.stoa.org/places/442495
http://nomisma.org/id/balsa,Balsa,The mint at the ancient site of Balsa in Hispania Citerior.,https://pleiades.stoa.org/places/256013
http://nomisma.org/id/barce,Barce,The mint of the ancient site of Barce in Cyrenaica.,https://pleiades.stoa.org/places/373750
http://nomisma.org/id/barcino,Barcino,The mint at the ancient site of Colonia Barcino in Hispania Citerior.,https://pleiades.stoa.org/places/246343
http://nomisma.org/id/bargasa,Bargasa,The mint at the ancient site of Baragsa in Caria.,https://pleiades.stoa.org/places/599548
http://nomisma.org/id/bargylia,Bargylia,The mint at the ancient site of Bargylia in Caria.,https://pleiades.stoa.org/places/599550
http://nomisma.org/id/baria,Baria,The mint at the ancient site of Baria in Hispania.,https://pleiades.stoa.org/places/265820
http://nomisma.org/id/barkeno,Barkeno,"The mint at the ancient of ancient Barkeno in Hispania. Nb. this is the pre-Roman mint. For the mint of the Roman colonia, use Barcino.",https://pleiades.stoa.org/places/246343
http://nomisma.org/id/barskunes,Barskunes,The mint at the ancient site of Barskunes in Hispania.,https://pleiades.stoa.org/places/252937
http://nomisma.org/id/basti,Basti,The mint at the ancient site of Basti in Hispania.,https://pleiades.stoa.org/places/265823
http://nomisma.org/id/belaiskom,Belaiskom,The mint at the ancient site of Belaiskom in Hispania.,https://pleiades.stoa.org/places/252938
http://nomisma.org/id/beneventum,Beneventum,The mint at the ancient site of Beneventum in Italy,https://pleiades.stoa.org/places/432721
http://nomisma.org/id/bentian,Bentian,The mint at the ancient site of Bentian in Hispania.,https://pleiades.stoa.org/places/252940
http://nomisma.org/id/berge,Berge,"Berge or Berga was a Greek town of ancient Macedonia, in what is now the Serres regional unit in northern Greece. The town was located inland from the mouth of the Strymon, in the region of Bisaltia, north-west of Amphipolis, and was founded by Thasians as a dependent colony and emporion sometime in the 5th century BCE. Later sources call it a polis, but according to Strabo it was a village of the Bisaltae and Ptolemy writes that it was in the territory of the Odomanti.",https://pleiades.stoa.org/places/501374
http://nomisma.org/id/beroea_macedon,Beroea,The mint at the ancient site of Beroea in Macedon.,https://pleiades.stoa.org/places/491546
http://nomisma.org/id/beterra,Beterra,The mint at the ancient site of Beterra in Gaul.,https://pleiades.stoa.org/places/148056
http://nomisma.org/id/beuibon,Beuibon ?,The mint at the ancient site of Beuibon ? in Hispania,https://pleiades.stoa.org/places/236635
http://nomisma.org/id/biannos,Biannos,The mint of the ancient site of Biannos (or Biennos) in Crete.,https://pleiades.stoa.org/places/589730
http://nomisma.org/id/bilbilis,Bilbilis,The mint at the ancient site of Bilbilis in Hispania Citerior.,https://pleiades.stoa.org/places/246247
http://nomisma.org/id/birytis,Birytis,The mint at the ancient site of Birytis in Troas.,https://pleiades.stoa.org/places/550486
http://nomisma.org/id/bisanthe,Bisanthe,The mint at the ancient site of Bisanthe in Thrace.,https://pleiades.stoa.org/places/511187
http://nomisma.org/id/bithynium,Bithynium,The mint at the ancient site of Bithynium in Bithynia.,https://pleiades.stoa.org/places/844879
http://nomisma.org/id/boeone,Boeone,The mint at the unlocated ancient site of Boeone in Aeolis.,https://pleiades.stoa.org/places/554206
http://nomisma.org/id/bolskan,Bolskan,The mint at the ancient site of Bolskan in Hispania.,https://pleiades.stoa.org/places/246539
http://nomisma.org/id/bora,Bora,The mint at the ancient site of Bora in Hispania.,https://pleiades.stoa.org/places/265829
http://nomisma.org/id/bostra,Bostra,The mint at the ancient site of Bostra in Arabia.,https://pleiades.stoa.org/places/678073
http://nomisma.org/id/botrys,Botrys,The mint at the ancient site of Botrys in Phoenicia.,https://pleiades.stoa.org/places/668214
http://nomisma.org/id/bria,Bria,The mint at the ancient site of Bria in Phrygia.,https://pleiades.stoa.org/places/614632
http://nomisma.org/id/briula,Briula,The mint at the ancient site of Briula in Lydia.,https://pleiades.stoa.org/places/638793
http://nomisma.org/id/brundisium,Brundisium,The mint at the ancient site of Brundisium in Calabria.,https://pleiades.stoa.org/places/442509
http://nomisma.org/id/brutobriga,Brutobriga,The mint at the ancient site of Brutobriga in Hispania.,https://pleiades.stoa.org/places/256032
http://nomisma.org/id/bruttii,Bruttium,The mint of uncertain location of the Bruttii in ancient Bruttium.,https://pleiades.stoa.org/places/452275
http://nomisma.org/id/bruzus,Bruzus,The mint at the ancient site of Bruzus in Phrygia.,https://pleiades.stoa.org/places/609345
http://nomisma.org/id/bubon,Bubon,The mint at the ancient site of Bubon in Lycia,https://pleiades.stoa.org/places/638792
http://nomisma.org/id/bura,Bura,The mint at the ancient site of Bura in Achaea.,https://pleiades.stoa.org/places/897749
http://nomisma.org/id/bursau,Bursau,The mint at the ancient site of Bursau in Hispania.,https://pleiades.stoa.org/places/246261
http://nomisma.org/id/byblus,Byblus,The mint at the ancient site of Byblus in Phoenicia.,https://pleiades.stoa.org/places/668216
http://nomisma.org/id/byllis,Byllis,The mint at the ancient site of Byllis in Illyricum.,https://pleiades.stoa.org/places/481777
http://nomisma.org/id/cabellio,Cabellio,"The mint at the ancient site of Cabellio (Cavaillon, France).",https://pleiades.stoa.org/places/148027
http://nomisma.org/id/cadi,Cadi,The mint at the ancient site of Cadi in Phrygia.,https://pleiades.stoa.org/places/609420
http://nomisma.org/id/caena,Caena,Term used in Historia Numorum to indicate the mint of coins inscribed with the Greek legend KAINON. Perhaps located at Alaesa in Sicily.,https://pleiades.stoa.org/places/462225
http://nomisma.org/id/caenicenses,Caenicenses,Unknown location of the mint of the Caenicenses in ancient Gaul.,https://pleiades.stoa.org/places/151766
