uri,title,summary,pleiades_uri
http://p-lod.org/urn/urn:p-lod:id:r1-i10-p4,Property I.10.4 (House of Menander),House of Menander,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/690549463
http://p-lod.org/urn/urn:p-lod:id:r1-i10-p7,Property I.10.7,Domus and officina of M. Volusius Iuvencus and Equitia,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/784028639
http://p-lod.org/urn/urn:p-lod:id:r1-i3-p23,Property I.3.23,Domus of Actius Anicetus,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/850954730
http://p-lod.org/urn/urn:p-lod:id:r1-i8-p2,Property I.8.2,CasaCasa del pomarius Felix,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/769901808
http://p-lod.org/urn/urn:p-lod:id:r1-i8-p5,Property I.8.5,Casa della statuetta indiana,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/264408878
http://p-lod.org/urn/urn:p-lod:id:r6-i17-p41,Property VI.17.41,Domus of Fabius Eupor princeps Libertinorum,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/44765651
http://p-lod.org/urn/urn:p-lod:id:r6-i9-p6,Property VI.9.6,Domus of M. Nigidius Vaccula,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/364001862
http://p-lod.org/urn/urn:p-lod:id:r7-i15-p2,Property VII.15.2,Casa del gallo,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/456945392
http://p-lod.org/urn/urn:p-lod:id:r7-i2-p23,Property VII.2.23,Casa degli Amorini puniti,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/379116903
http://p-lod.org/urn/urn:p-lod:id:r8-i3-p14,Property VIII.3.14,Private Dwellings,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/26245224
http://p-lod.org/urn/urn:p-lod:id:villa-of-the-mysteries,Villa of the Mysteries,,https://pleiades.stoa.org/places/https://pleiades.stoa.org/places/396427768
