uri,title,summary,pleiades_uri
https://atlas.paths-erc.eu/places/116,Abu Mina,,https://pleiades.stoa.org/places/727105
https://atlas.paths-erc.eu/places/417,Abu Sha'ar,,https://pleiades.stoa.org/places/766332
https://atlas.paths-erc.eu/places/129,Achaia,,https://pleiades.stoa.org/places/828238
https://atlas.paths-erc.eu/places/419,Ain el-Hayz,,https://pleiades.stoa.org/places/716510
https://atlas.paths-erc.eu/places/386,'Ain el-Sabil,,https://pleiades.stoa.org/places/551781152
https://atlas.paths-erc.eu/places/38,Alexandria,,https://pleiades.stoa.org/places/727070
https://atlas.paths-erc.eu/places/153,Ammoniake,,https://pleiades.stoa.org/places/716520
https://atlas.paths-erc.eu/places/49,Andronpolis,,https://pleiades.stoa.org/places/727071
https://atlas.paths-erc.eu/places/30,Ankyropolis,,https://pleiades.stoa.org/places/736888
https://atlas.paths-erc.eu/places/25,Antaiopolis,,https://pleiades.stoa.org/places/756515
https://atlas.paths-erc.eu/places/53,Antinoupolis,,https://pleiades.stoa.org/places/756518
https://atlas.paths-erc.eu/places/162,Antipyrgos,,https://pleiades.stoa.org/places/716525
https://atlas.paths-erc.eu/places/139,Aphnaioua,,https://pleiades.stoa.org/places/730089
https://atlas.paths-erc.eu/places/209,Aphrodite,,https://pleiades.stoa.org/places/756532
https://atlas.paths-erc.eu/places/34,Aphroditopolis,,https://pleiades.stoa.org/places/736889
https://atlas.paths-erc.eu/places/55,Apollonopolis Parva,,https://pleiades.stoa.org/places/785975
https://atlas.paths-erc.eu/places/364,Arminna,,https://pleiades.stoa.org/places/795780
https://atlas.paths-erc.eu/places/33,Arsinoe,,https://pleiades.stoa.org/places/736948
https://atlas.paths-erc.eu/places/8,Athribis,,https://pleiades.stoa.org/places/727078
https://atlas.paths-erc.eu/places/144,Babylon - Fustat,,https://pleiades.stoa.org/places/727082
https://atlas.paths-erc.eu/places/115,Bagawat,,https://pleiades.stoa.org/places/776156
https://atlas.paths-erc.eu/places/105,Bakchias,,https://pleiades.stoa.org/places/736896
https://atlas.paths-erc.eu/places/160,Barke,,https://pleiades.stoa.org/places/373750
https://atlas.paths-erc.eu/places/163,Bassachitai?,,https://pleiades.stoa.org/places/716534
https://atlas.paths-erc.eu/places/73,Bawit,,https://pleiades.stoa.org/places/756663
https://atlas.paths-erc.eu/places/172,Beni Hassan,,https://pleiades.stoa.org/places/112509596
https://atlas.paths-erc.eu/places/84,Berenike (Upper Egypt),,https://pleiades.stoa.org/places/785986
https://atlas.paths-erc.eu/places/157,Boreum,,https://pleiades.stoa.org/places/363948
https://atlas.paths-erc.eu/places/7,Bousiris,,https://pleiades.stoa.org/places/727090
https://atlas.paths-erc.eu/places/15,Bubastis,,https://pleiades.stoa.org/places/727088
https://atlas.paths-erc.eu/places/471,Buhen,,https://pleiades.stoa.org/places/795791
https://atlas.paths-erc.eu/places/40,Buto,,https://pleiades.stoa.org/places/727094
https://atlas.paths-erc.eu/places/64,Chenoboskion,,https://pleiades.stoa.org/places/756545
https://atlas.paths-erc.eu/places/140,Clysma,,https://pleiades.stoa.org/places/727101
