uri,title,summary,pleiades_uri
https://topostext.org/place/413-86UAbo,Abobrica (Iberia),human settlement in Spain,https://pleiades.stoa.org/places/260499
https://topostext.org/place/396287RAbr,Abrettene (Mysia),ancient region of Mysia,https://pleiades.stoa.org/places/609289
https://topostext.org/place/403167WAca,Acalandrus River (Magna Graecia),river in Italy,https://pleiades.stoa.org/places/442432
https://topostext.org/place/298312UAca,Acanthus (Egypt),ancient city of Egypt,https://pleiades.stoa.org/places/730087
https://topostext.org/place/393223RPht,Achaea Phthiotis region (Phthiotis),ancient region and people in Phthiotida Central Greece,https://pleiades.stoa.org/places/540585
https://topostext.org/place/353338LAch,Achaion Akte cape (Cyprus),"promontory, the modern N coast near Karpass in Famagusta Cyprus",https://pleiades.stoa.org/places/707437
https://topostext.org/place/379281UAch,Acharaca (Lydia),ancient town of Lydia with shrine of Pluto and Kore,https://pleiades.stoa.org/places/599472
https://topostext.org/place/352252UAch,Acharna (Crete),Classical settlement near Arkhanes in Irakleio Crete,https://pleiades.stoa.org/places/589657
https://topostext.org/place/370143WDir,Achates (Sicily),"river in Sicily, the modern Dirillo",https://pleiades.stoa.org/places/462065
https://topostext.org/place/413314LAch,Acherousia (Pontus),promontory on the Black Sea near Heraclea,https://pleiades.stoa.org/places/844849
https://topostext.org/place/393208WAch,Acherusia (Preveza),"lake, the modern Kastri dry lake in Preveza, Epirus",https://pleiades.stoa.org/places/530770
https://topostext.org/place/363223HAcL,Achilleios harbor (Lakonia),"harbor, at Marmari in Lakonia Peloponnese",https://pleiades.stoa.org/places/570031
https://topostext.org/place/351338SArt,Achna Artemis sanct. (Cyprus),"Artemis/Kybele sanctuary with Archaic to Classical sculpture, somewhere NE of Achna, Famagusta, Cyprus.",https://pleiades.stoa.org/places/707486
https://topostext.org/place/395393RAci,Acilisene (Armenia),region in ancient Armenia,https://pleiades.stoa.org/places/874310
https://topostext.org/place/378153WAci,Acis (Sicily),river in eastern Sicily,https://pleiades.stoa.org/places/462066
https://topostext.org/place/376152UAci,Acium (Sicily),ancient town of Sicily,https://pleiades.stoa.org/places/462067
https://topostext.org/place/424188UAcr,Acruvium (Illyria),"ancient city of Illyria, modern Kotor",https://pleiades.stoa.org/places/197097
