uri,title,summary,pleiades_uri
https://whgazetteer.org/places/7553327/detail,Abu Njaym,,https://pleiades.stoa.org/places/344377
https://whgazetteer.org/places/7553341/detail,Ad Ficum,,https://pleiades.stoa.org/places/363914
https://whgazetteer.org/places/7553342/detail,Ad Palmam,,https://pleiades.stoa.org/places/344285
https://whgazetteer.org/places/7553352/detail,Ajdabiya,,https://pleiades.stoa.org/places/373776
https://whgazetteer.org/places/7553356/detail,Al Aşābi‘ah,,https://pleiades.stoa.org/places/344539
https://whgazetteer.org/places/7553361/detail,Al Burdī,,https://pleiades.stoa.org/places/716619
https://whgazetteer.org/places/7553369/detail,Al Jawsh,,https://pleiades.stoa.org/places/344382
https://whgazetteer.org/places/7553374/detail,Al Khaţāţibah,,https://pleiades.stoa.org/places/344338
https://whgazetteer.org/places/7553406/detail,Allem Daur,,https://pleiades.stoa.org/places/716519
https://whgazetteer.org/places/7553380/detail,Al Marj al Qadim,,https://pleiades.stoa.org/places/373750
https://whgazetteer.org/places/7553385/detail,Al Māyah,,https://pleiades.stoa.org/places/344299
https://whgazetteer.org/places/7553449/detail,Arḑ al Madanīyah,,https://pleiades.stoa.org/places/363951
https://whgazetteer.org/places/7553446/detail,"Area X, Sidi Khrebish",,https://pleiades.stoa.org/places/304296863
https://whgazetteer.org/places/7554657/detail,Āthār Ţulmaythah,,https://pleiades.stoa.org/places/373879
https://whgazetteer.org/places/7554667/detail,‘Ayn Mārrah,,https://pleiades.stoa.org/places/373829
https://whgazetteer.org/places/7553489/detail,Benghazi,,https://pleiades.stoa.org/places/373757
https://whgazetteer.org/places/7553502/detail,Bi’r al Jinn,,https://pleiades.stoa.org/places/363916
https://whgazetteer.org/places/7553500/detail,Bir Tarakenet,,https://pleiades.stoa.org/places/373759
https://whgazetteer.org/places/7553548/detail,Buma el Garbia,,https://pleiades.stoa.org/places/373764
https://whgazetteer.org/places/7553638/detail,Cyrene,,https://pleiades.stoa.org/places/373778
https://whgazetteer.org/places/7553642/detail,"Cyrene to Apollonia, road",,https://pleiades.stoa.org/places/376001
https://whgazetteer.org/places/7553646/detail,Darnah,,https://pleiades.stoa.org/places/373780
https://whgazetteer.org/places/7553662/detail,"East Church, Apollonia",,https://pleiades.stoa.org/places/465308593
https://whgazetteer.org/places/7553712/detail,Fazzan (Mattingly),,https://pleiades.stoa.org/places/344458
https://whgazetteer.org/places/7553713/detail,Fezzan (Ottoman province),,https://pleiades.stoa.org/places/344458
https://whgazetteer.org/places/7553856/detail,Gulf of Sidra,,https://pleiades.stoa.org/places/344491
https://whgazetteer.org/places/7553861/detail,Hanshir Sidi Hamdan,,https://pleiades.stoa.org/places/344403
https://whgazetteer.org/places/7553972/detail,Maradah,,https://pleiades.stoa.org/places/363995
https://whgazetteer.org/places/7553981/detail,Marsá al ‘Awrā’,,https://pleiades.stoa.org/places/716599
https://whgazetteer.org/places/7553983/detail,Marsá Bū al ‘Ifrīt,,https://pleiades.stoa.org/places/716584
https://whgazetteer.org/places/7554090/detail,Qaryah ash Sharqiyah,,https://pleiades.stoa.org/places/344375
https://whgazetteer.org/places/7554134/detail,Qaşabat Şuffīţ,,https://pleiades.stoa.org/places/344406
https://whgazetteer.org/places/7554096/detail,Qasr ad Dawun,,https://pleiades.stoa.org/places/344488
https://whgazetteer.org/places/7554150/detail,Qaşr ar Raqīq,,https://pleiades.stoa.org/places/373809
https://whgazetteer.org/places/7554151/detail,Qaşr as Suwayrah,,https://pleiades.stoa.org/places/373812
https://whgazetteer.org/places/7554113/detail,Qasr Banat,,https://pleiades.stoa.org/places/344362
https://whgazetteer.org/places/7554123/detail,Qasr Isawi,,https://pleiades.stoa.org/places/344362
https://whgazetteer.org/places/7554160/detail,Qaşr Jabrah,,https://pleiades.stoa.org/places/373806
https://whgazetteer.org/places/7554164/detail,Qaşr Madīnat Bū Hindī,,https://pleiades.stoa.org/places/373855
https://whgazetteer.org/places/7554124/detail,Qasr Nagazza East,,https://pleiades.stoa.org/places/344366
https://whgazetteer.org/places/7554125/detail,Qasr Nagazza West,,https://pleiades.stoa.org/places/344366
https://whgazetteer.org/places/7554177/detail,Qirzah,,https://pleiades.stoa.org/places/344376
https://whgazetteer.org/places/7554280/detail,Sidi Bu Breyek,,https://pleiades.stoa.org/places/375258
https://whgazetteer.org/places/7554337/detail,Sīdī Bū Fākhirah,,https://pleiades.stoa.org/places/373771
https://whgazetteer.org/places/7554291/detail,Sirat Nabigh,,https://pleiades.stoa.org/places/375241
https://whgazetteer.org/places/7554295/detail,Sirte,,https://pleiades.stoa.org/places/363959
https://whgazetteer.org/places/7554367/detail,Taucheira,,https://pleiades.stoa.org/places/373736
https://whgazetteer.org/places/7554651/detail,Zāwiyat al Ḩamāmah,,https://pleiades.stoa.org/places/373872
https://whgazetteer.org/places/7554637/detail,Zawiyat al-Murassas,,https://pleiades.stoa.org/places/716601
https://whgazetteer.org/places/7554649/detail,Zāwiyat al Quşūr,,https://pleiades.stoa.org/places/373913
