uri,title,summary,pleiades_uri
http://www.wikidata.org/entity/Q3951,Aalen,Former Free Imperial City located in the eastern part of the German state of Baden-Württemberg,https://pleiades.stoa.org/places/118537
http://www.wikidata.org/entity/Q63049,Abadan,"City in Khuzestan Province, Iran",https://pleiades.stoa.org/places/211425280
http://www.wikidata.org/entity/Q304823,Abae,Ancient temple site on the east of Kalapodi. Phokida,https://pleiades.stoa.org/places/540582
http://www.wikidata.org/entity/Q305667,Abastani,Ancient people of India,https://pleiades.stoa.org/places/59648
http://www.wikidata.org/entity/Q791665,Abdah,Mawqiʻ Atharī fī ṣaḥrāʼ al-Naqab,https://pleiades.stoa.org/places/687887
http://www.wikidata.org/entity/Q320830,Abia,"Mythical character, nurse of Glenus",https://pleiades.stoa.org/places/573047
http://www.wikidata.org/entity/Q320867,Abidda,Archaeological site in Tunisia,https://pleiades.stoa.org/places/315006
http://www.wikidata.org/entity/Q322064,Abla,Municipality of Spain,https://pleiades.stoa.org/places/265763
http://www.wikidata.org/entity/Q322435,Ablis,"Commune in Yvelines, France",https://pleiades.stoa.org/places/108723
http://www.wikidata.org/entity/Q85739496,Abouadeineita,Ancient city of Phrygia in modern-day Turkey,https://pleiades.stoa.org/places/609288
http://www.wikidata.org/entity/Q2175661,Abrit,"Village in Krushari municipality, Dobrich oblast, Bulgaria",https://pleiades.stoa.org/places/216687
http://www.wikidata.org/entity/Q331674,Absa Salla,Ancient Roman city in Tunisia,https://pleiades.stoa.org/places/321633
http://www.wikidata.org/entity/Q335383,Abū Ṣīr el-Malaq,"Village in Beni Suef Governorate, Egypt",https://pleiades.stoa.org/places/736900
http://www.wikidata.org/entity/Q106155444,Abyār Abū Sa‘dah,"Fountain/well/spring, Settlement in Libya.",https://pleiades.stoa.org/places/364024
http://www.wikidata.org/entity/Q106134281,Abyār an Na‘īm,"Fountain/well/spring, Settlement in Libya.",https://pleiades.stoa.org/places/363958
http://www.wikidata.org/entity/Q105991963,Abyār ash Shuwayrif,Fountain/well/spring in Libya.,https://pleiades.stoa.org/places/354102
http://www.wikidata.org/entity/Q104904286,Abyār Zarqūn,"Fountain/well/spring , Funerary monument(s)/funerary area in Libya.",https://pleiades.stoa.org/places/716498
http://www.wikidata.org/entity/Q4672075,Acanthus,Ancient city of Egypt,https://pleiades.stoa.org/places/730087
http://www.wikidata.org/entity/Q104192132,Acatucci,,https://pleiades.stoa.org/places/265784
http://www.wikidata.org/entity/Q85429625,Accu Sa Pira Nuraghe,Sardinian nuraghe near Quartu Sant'Elena.,https://pleiades.stoa.org/places/565559821
http://www.wikidata.org/entity/Q3604256,Acesta,Ancient city of Sicily,https://pleiades.stoa.org/places/465838
http://www.wikidata.org/entity/Q204772,Achaea,Roman province,https://pleiades.stoa.org/places/981502
http://www.wikidata.org/entity/Q12874234,Acharaca,Ancient city of Lydia in modern-day Turkey,https://pleiades.stoa.org/places/599472
http://www.wikidata.org/entity/Q4670000,Acharnes,"Northern suburb of Athens, Greece",https://pleiades.stoa.org/places/579843
http://www.wikidata.org/entity/Q60790558,Achelous River,"Ancient river in Arcadia, Greece",https://pleiades.stoa.org/places/573050
http://www.wikidata.org/entity/Q60790562,Acherontia,Ancient fortress town of Apulia,https://pleiades.stoa.org/places/456777
http://www.wikidata.org/entity/Q16562635,Achinos,Ancient city in Greece,https://pleiades.stoa.org/places/540749
http://www.wikidata.org/entity/Q17379233,Acholla,Archaeological site in Tunisia,https://pleiades.stoa.org/places/324653
http://www.wikidata.org/entity/Q4674089,Acidava,Dacian fortified settlement,https://pleiades.stoa.org/places/216691
http://www.wikidata.org/entity/Q133460727,Acium,Ancient town of Sicily,https://pleiades.stoa.org/places/462067
http://www.wikidata.org/entity/Q19753378,Acmonia,"Ancient city of Phrygia, in modern-day Turkey",https://pleiades.stoa.org/places/609293
http://www.wikidata.org/entity/Q17244,Acqui Terme,Italian comune,https://pleiades.stoa.org/places/383574
http://www.wikidata.org/entity/Q132456781,Acrassus,Ancient city of Lydia in modern-day Turkey,https://pleiades.stoa.org/places/554181
http://www.wikidata.org/entity/Q17620101,Acripus,Unlocated ancient city in NW Greece,https://pleiades.stoa.org/places/143620624
http://www.wikidata.org/entity/Q25113900,Acropolis hill,"Hill in Athens, Greece",https://pleiades.stoa.org/places/582866
http://www.wikidata.org/entity/Q38282165,Acropolis of Poseidion Karpathou,,https://pleiades.stoa.org/places/590010
http://www.wikidata.org/entity/Q17620105,Acrothoum,Ancient town of Halkidiki,https://pleiades.stoa.org/places/501343
http://www.wikidata.org/entity/Q97605293,Acueducto de Torrecuevas,,https://pleiades.stoa.org/places/266520
http://www.wikidata.org/entity/Q346649,Adada,Ancient city of Pisidia in modern-day Turkey,https://pleiades.stoa.org/places/638733
http://www.wikidata.org/entity/Q12076728,Adamclisi,"Village in the commune with the same name, Constanța County, Romania",https://pleiades.stoa.org/places/217027
http://www.wikidata.org/entity/Q175323,Adapazarı,City in northwestern Turkey and the capital of Sakarya Province,https://pleiades.stoa.org/places/15619003
http://www.wikidata.org/entity/Q345467,Ad Deir,"Building carved out of rock in Petra, Jordan",https://pleiades.stoa.org/places/783362997
http://www.wikidata.org/entity/Q106495669,Ad Disah,"Cave/grotto/rocks , Funerary monument(s)/funerary area in Libya.",https://pleiades.stoa.org/places/354109
http://www.wikidata.org/entity/Q4682638,Adiabene,Former East Syriac ecclesiastical province,https://pleiades.stoa.org/places/893935
http://www.wikidata.org/entity/Q133932403,Ad Martis,Ancient road station in the Cottian Alps,https://pleiades.stoa.org/places/167617
http://www.wikidata.org/entity/Q207366,Adour,River in France,https://pleiades.stoa.org/places/246203
http://www.wikidata.org/entity/Q13046345,Ad Quintum,Antique Roman city,https://pleiades.stoa.org/places/481701
http://www.wikidata.org/entity/Q24913524,Adrasan Bay,"Bay in the Antalya Province, Turkey",https://pleiades.stoa.org/places/639106
http://www.wikidata.org/entity/Q85739851,Adrasus,Ancient city of Cilicia in modern-day Turkey,https://pleiades.stoa.org/places/648549
http://www.wikidata.org/entity/Q11904142,Ad Salices,,https://pleiades.stoa.org/places/221973
http://www.wikidata.org/entity/Q2825341,Adsilanum,Archaeological site in France,https://pleiades.stoa.org/places/138168
http://www.wikidata.org/entity/Q264401,Aduatuci,Gallic-Germanic tribe,https://pleiades.stoa.org/places/108728
